705C2G9,ILES MADELEINE ,QC, station joined    , Monthly mean of homogenized daily mean temperature                     , °C,          Updated to December 2012
705C2G9,ILES MADELEINE ,QC, station jointe    , Moyenne mensuelle des températures homogénéisées moyennes quotidiennes , °C, Mise à jour jusqu à décembre 2012
Year,     Jan, ,     Feb, ,     Mar, ,     Apr, ,     May, ,     Jun, ,     Jul, ,     Aug, ,     Sep, ,     Oct, ,     Nov, ,     Dec, ,  Annual, ,  Winter, ,  Spring, ,  Summer, ,  Autumn
Year,    Janv, ,     Fév, ,    Mars, ,     Avr, ,     Mai, ,    Juin, ,    Juil, ,    Août, ,    Sept, ,     Oct, ,     Nov, ,     Déc, ,  Annuel, ,   Hiver, ,Printemp, ,     Eté, , Automne
1933, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    12.7, ,     8.5, ,     -.8, ,    -7.7, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,     6.8, 
1934,   -11.7, ,   -12.0, ,    -6.6, ,      .3, ,     5.9, ,     9.9, ,    16.0, ,    16.1, ,    15.2, ,     7.0, ,     2.5, ,    -5.3, ,     3.1, ,   -10.5, ,     -.1, ,    14.0, ,     8.2, 
1935,    -9.2, ,   -11.9, ,    -8.3, ,    -1.4, ,     4.5, ,    11.4, ,    16.4, ,    18.1, ,    11.4, ,     7.4, ,     3.1, ,    -2.9, ,     3.2, ,    -8.8, ,    -1.7, ,    15.3, ,     7.3, 
1936,    -4.7, ,    -9.0, ,    -1.3, ,      .5, ,     4.4, ,    11.4, ,    14.6, ,    15.6, ,    12.2, ,     6.5, ,      .3, ,    -3.3, ,     3.9, ,    -5.5, ,     1.2, ,    13.9, ,     6.3, 
1937,    -8.3, ,    -7.0, ,    -5.5, ,      .2, ,     6.7, ,    12.2, ,    17.6, ,    19.5, ,    14.3, ,     7.8, ,     2.5, ,    -2.7, ,     4.8, ,    -6.2, ,      .5, ,    16.4, ,     8.2, 
1938,    -6.9, ,   -11.2, ,    -7.5, ,      .0, ,     4.8, ,    13.6, ,    16.6, ,    17.6, ,    13.2, ,     8.6, ,     2.4, ,    -2.4, ,     4.1, ,    -6.9, ,     -.9, ,    15.9, ,     8.1, 
1939,    -6.4, ,   -10.2, ,    -8.4, ,    -1.1, ,     3.6, ,     9.6, ,    16.4, ,    17.9, ,    12.8, ,     7.4, ,      .8, ,    -2.3, ,     3.3, ,    -6.3, ,    -2.0, ,    14.6, ,     7.0, 
1940,    -7.2, ,    -7.3, ,    -3.7, ,     -.3, ,     5.5, ,    10.5, ,    16.5, ,    16.9, ,    13.0, ,     5.8, ,     2.0, ,    -4.7, ,     3.9, ,    -5.6, ,      .5, ,    14.6, ,     6.9, 
1941,    -8.0, ,    -6.7, ,    -5.8, ,      .1, ,     4.8, ,    10.0, ,    15.5, ,    13.1, ,     9.9, ,     5.8, ,     1.5, ,    -2.7, ,     3.1, ,    -6.5, ,     -.3, ,    12.9, ,     5.7, 
1942,    -8.2, ,    -7.7, ,    -2.3, ,     1.0, ,     7.5, ,    12.3, ,    17.0, ,    17.2, ,    14.4, ,     9.1, ,     2.0, ,    -6.0, ,     4.7, ,    -6.2, ,     2.1, ,    15.5, ,     8.5, 
