7060400,BAGOTVILLE     ,QC, station joined    , Monthly mean of homogenized daily mean temperature                     , °C,          Updated to December 2012
7060400,BAGOTVILLE     ,QC, station jointe    , Moyenne mensuelle des températures homogénéisées moyennes quotidiennes , °C, Mise à jour jusqu à décembre 2012
Year,     Jan, ,     Feb, ,     Mar, ,     Apr, ,     May, ,     Jun, ,     Jul, ,     Aug, ,     Sep, ,     Oct, ,     Nov, ,     Dec, ,  Annual, ,  Winter, ,  Spring, ,  Summer, ,  Autumn
Year,    Janv, ,     Fév, ,    Mars, ,     Avr, ,     Mai, ,    Juin, ,    Juil, ,    Août, ,    Sept, ,     Oct, ,     Nov, ,     Déc, ,  Annuel, ,   Hiver, ,Printemp, ,     Eté, , Automne
1880, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M
1881,   -19.7,a,   -12.6,a,    -2.9,a,     -.5,a,     9.5,a,    12.1,a, -9999.9,M, -9999.9,M, -9999.9,M,     1.0,a,    -5.2,a,   -11.0,a, -9999.9,M, -9999.9,M,     2.0,a, -9999.9,M, -9999.9,M
1882,   -17.5,a, -9999.9,M,    -8.7,a,    -2.1,a,     5.2,a, -9999.9,M,    16.8,a,    16.7,a, -9999.9,M,     6.1,a,    -4.4,a,   -12.6,a, -9999.9,M, -9999.9,M,    -1.9,a, -9999.9,M, -9999.9,M
1883, -9999.9,M,   -17.3,a, -9999.9,M,    -1.4,a, -9999.9,M, -9999.9,M,    16.0,a,    15.7,a,    10.7,a,     2.7,a,    -2.1,a,   -15.2,a, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,     3.8,a
1884,   -21.5,a,   -16.0,a,   -10.6,a,     2.6,a,     7.5,a, -9999.9,M,    16.4,a,    17.9,a, -9999.9,M, -9999.9,M, -9999.9,M,   -13.3,a, -9999.9,M,   -17.6,a,     -.2,a, -9999.9,M, -9999.9,M
1885,   -17.7,a,   -15.8,a,   -15.4,a,     -.8,a,     8.4,a,    11.7,a,    18.0,a,    14.3,a,     9.2,a,     4.1,a,    -4.0,a,   -13.6,a,     -.1,a,   -15.6,a,    -2.6,a,    14.7,a,     3.1,a
1886,   -14.3,a,   -17.4,a,   -10.9,a,     2.0,a,     8.2,a,    14.1,a,    16.1,a,    15.4,a,     9.4,a,     3.6,a,    -3.4,a,   -17.4,a,      .5,a,   -15.1,a,     -.2,a,    15.2,a,     3.2,a
1887,   -17.2,a,   -17.7,a,   -11.3,a,    -1.3,a,     9.7,a,    16.4,a,    18.4,a,    14.6,a,    10.0,a,     2.5,a,    -5.4,a,   -13.4,a,      .4,a,   -17.4,a,    -1.0,a,    16.5,a,     2.4,a
1888,   -20.0,a, -9999.9,M,    -8.4,a,    -2.6,a,     7.3,a,    14.2,a,    16.7,a,    13.5,a,    10.1,a,     1.2,a,    -5.0,a,   -11.7,a, -9999.9,M, -9999.9,M,    -1.2,a,    14.8,a,     2.1,a
1889,   -12.4,a,   -15.7,a,    -5.1,a,     1.1,a,     9.7,a,    13.1,a,    16.6,a,    14.3,a,    13.0,a,     1.1,a,    -2.4,a,   -12.9,a,     1.7,a,   -13.3,a,     1.9,a,    14.7,a,     3.9,a
1890,   -18.4,a, -9999.9,M,   -10.3,a,    -4.4,a,     3.0,a,    10.1,a,    14.8,a,    13.1,a,     7.9,a,     2.3,a,    -5.4,a,   -21.0,a, -9999.9,M, -9999.9,M,    -3.9,a,    12.7,a,     1.6,a
1891,   -18.4,a,   -16.0,a,    -7.9,a,      .9,a,     6.9,a,    14.1,a,    16.5,a,    15.1,a,    12.4,a,     3.4,a,    -2.1,a,    -6.6,a,     1.5,a,   -18.5,a,      .0,a,    15.2,a,     4.6,a
1892,   -15.7,a,   -13.0,a,    -8.8,a,     -.1,a,     7.7,a,    14.4,a,    17.0,a,    15.7,a,    11.8,a,     3.3,a,    -3.4,a,   -12.4,a,     1.4,a,   -11.8,a,     -.4,a,    15.7,a,     3.9,a
1893,   -17.8,a,   -18.6,a,   -10.6,a,    -3.2,a, -9999.9,M, -9999.9,M,    16.3,a,    17.1,a,     9.2,a,     6.3,a, -9999.9,M, -9999.9,M, -9999.9,M,   -16.3,a, -9999.9,M, -9999.9,M, -9999.9,M
1894,   -18.2,a,   -18.0,a,    -6.6,a,      .3,a,    10.3,a,    15.3,a,    17.3,a,    13.1,a,    11.0,a,     5.6,a,    -6.0,a,   -12.8,a,      .9,a, -9999.9,M,     1.3,a,    15.2,a,     3.5,a
1895,   -15.3,a,   -14.9,a,   -10.5,a,     1.3,a,     9.7,a,    17.0,a,    16.6,a,    14.7,a,    11.9,a,     2.3,a,    -2.4,a,   -11.2,a,     1.6,a,   -14.3,a,      .2,a,    16.1,a,     3.9,a
1896,   -16.7,a,   -15.6,a,   -11.1,a,     2.0,a,    10.0,a,    14.8,a,    17.3,a,    15.3,a,     9.3,a, -9999.9,M,    -5.4,a,   -14.5,a, -9999.9,M,   -14.5,a,      .3,a,    15.8,a, -9999.9,M
