7075800,PARENT         ,QC, station joined    , Monthly mean of homogenized daily mean temperature                     , °C,          Updated to December 2012
7075800,PARENT         ,QC, station jointe    , Moyenne mensuelle des températures homogénéisées moyennes quotidiennes , °C, Mise à jour jusqu à décembre 2012
Year,     Jan, ,     Feb, ,     Mar, ,     Apr, ,     May, ,     Jun, ,     Jul, ,     Aug, ,     Sep, ,     Oct, ,     Nov, ,     Dec, ,  Annual, ,  Winter, ,  Spring, ,  Summer, ,  Autumn
Year,    Janv, ,     Fév, ,    Mars, ,     Avr, ,     Mai, ,    Juin, ,    Juil, ,    Août, ,    Sept, ,     Oct, ,     Nov, ,     Déc, ,  Annuel, ,   Hiver, ,Printemp, ,     Eté, , Automne
1943, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    17.0, ,    14.2, ,     9.5, ,     5.5, ,    -3.5, ,   -15.9, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,     3.8, 
1944,   -12.2, ,   -17.7, ,   -12.0, ,    -2.4, ,    10.5, ,    14.3, ,    17.0, ,    16.9, ,    12.1, ,     3.6, ,    -1.5, ,   -14.0, ,     1.2, ,   -15.3, ,    -1.3, ,    16.1, ,     4.7, 
1945,   -21.7, ,   -13.5, ,    -3.5, ,     3.6, ,     7.7, ,    13.6, ,    16.6, ,    15.7, ,    11.3, ,     3.3, ,    -3.1, ,   -13.8, ,     1.4, ,   -16.4, ,     2.6, ,    15.3, ,     3.8, 
1946,   -16.4, ,   -19.1, ,    -2.7, ,      .2, ,     7.1, ,    13.1, ,    15.6, ,    13.7, ,    12.2, ,     6.3, ,    -3.9, ,   -13.3, ,     1.1, ,   -16.4, ,     1.5, ,    14.1, ,     4.9, 
1947,   -16.3, ,   -14.5, ,    -7.1, ,    -4.2, ,     5.3, ,    14.0, ,    17.8, ,    18.5, ,     9.9, ,     8.7, ,    -3.9, ,   -14.7, ,     1.1, ,   -14.7, ,    -2.0, ,    16.8, ,     4.9, 
1948,   -19.5, ,   -19.2, ,   -10.0, ,      .6, ,     8.2, ,    13.8, ,    16.1, ,    16.1, ,    11.6, ,     4.3, ,     1.4, ,    -9.1, ,     1.2, ,   -17.8, ,     -.4, ,    15.3, ,     5.8, 
1949,   -15.6, ,   -15.7, ,   -10.7, ,     1.1, ,     7.1, ,    16.3, ,    17.8, ,    16.2, ,    10.3, , -9999.9,M,    -6.1, ,   -10.2, , -9999.9,M,   -13.5, ,     -.8, ,    16.8, , -9999.9,M
1950,   -14.5, ,   -18.2, ,   -12.4, ,    -1.4, ,     9.0, ,    13.7, ,    16.2, , -9999.9,M,     9.0, ,     4.5, ,    -1.7, , -9999.9,M, -9999.9,M,   -14.3, ,    -1.6, , -9999.9,M,     3.9, 
1951, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    16.2, ,    13.8, ,    11.3, ,     5.6, ,    -6.0, ,   -13.1, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,     3.6, 
1952,   -16.3, ,   -11.6, ,    -6.7, ,     2.0, ,     7.7, ,    14.0, ,    18.9, ,    15.3, ,    11.4, ,     2.4, ,    -1.6, ,    -8.9, ,     2.2, ,   -13.7, ,     1.0, ,    16.1, ,     4.1, 
1953,   -14.1, ,   -11.8, ,    -5.8, ,     1.5, ,     9.1, ,    14.3, ,    16.7, ,    15.4, ,    11.1, ,     4.8, ,     1.3, ,    -9.6, ,     2.7, ,   -11.6, ,     1.6, ,    15.5, ,     5.7, 
1954,   -20.0, ,    -9.4, ,    -9.2, ,      .0, ,     8.1, ,    15.1, ,    15.1, ,    14.1, ,     9.7, ,     5.1, ,    -2.1, ,   -11.8, ,     1.2, ,   -13.0, ,     -.4, ,    14.8, ,     4.2, 
1955,   -17.9, ,   -14.4, ,   -11.0, ,     2.5, ,    10.8, ,    16.6, ,    18.7, ,    17.0, ,     9.3, ,     5.4, ,    -3.1, , -9999.9,M, -9999.9,M,   -14.7, ,      .8, ,    17.4, ,     3.9, 
1956, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M
1957, -9999.9,M,   -12.8, ,    -7.6, ,      .3, ,     7.4, ,    15.4, ,    15.0, ,    13.1, ,    10.9, ,     4.6, ,    -1.5, ,   -10.5, , -9999.9,M, -9999.9,M,      .0, ,    14.5, ,     4.7, 
1958,   -13.3, ,   -15.5, ,    -2.1, ,     2.4, , -9999.9,M,    10.9, ,    16.1, ,    13.9, ,    10.7, ,     3.9, ,    -3.0, ,   -18.6, , -9999.9,M,   -13.1, , -9999.9,M,    13.6, ,     3.9, 
1959, -9999.9,M, -9999.9,M,   -11.5, , -9999.9,M, -9999.9,M,    14.2, ,    18.6, ,    16.6, ,    12.3, ,     3.6, , -9999.9,M,   -11.7, , -9999.9,M, -9999.9,M, -9999.9,M,    16.5, , -9999.9,M
1960,   -15.3, ,    -9.4, ,   -11.1, ,      .6, ,    12.3, ,    13.8, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,   -12.1, ,      .6, , -9999.9,M, -9999.9,M
1961, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M
