707DBD4,LA TUQUE       ,QC, station joined    , Monthly mean of homogenized daily mean temperature                     , °C,          Updated to December 2012
707DBD4,LA TUQUE       ,QC, station jointe    , Moyenne mensuelle des températures homogénéisées moyennes quotidiennes , °C, Mise à jour jusqu à décembre 2012
Year,     Jan, ,     Feb, ,     Mar, ,     Apr, ,     May, ,     Jun, ,     Jul, ,     Aug, ,     Sep, ,     Oct, ,     Nov, ,     Dec, ,  Annual, ,  Winter, ,  Spring, ,  Summer, ,  Autumn
Year,    Janv, ,     Fév, ,    Mars, ,     Avr, ,     Mai, ,    Juin, ,    Juil, ,    Août, ,    Sept, ,     Oct, ,     Nov, ,     Déc, ,  Annuel, ,   Hiver, ,Printemp, ,     Eté, , Automne
1911, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    10.8, ,     5.3, ,    -4.5, ,    -7.3, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,     3.9, 
1912,   -22.0, ,   -13.9, ,   -11.7, ,     -.7, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    13.0, , -9999.9,M,    -2.3, ,   -10.1, , -9999.9,M,   -14.4, , -9999.9,M, -9999.9,M, -9999.9,M
1913,   -10.5, ,   -17.6, ,    -5.9, ,     6.2, ,    10.4, ,    15.2, ,    18.3, ,    16.9, ,    12.3, ,     9.2, ,      .4, ,    -6.5, ,     4.0, ,   -12.7, ,     3.6, ,    16.8, ,     7.3, 
1914,   -15.2, ,   -19.6, ,    -5.0, ,     -.3, ,    12.2, ,    14.4, ,    18.4, ,    15.8, ,    13.5, ,     6.3, ,    -4.8, ,   -10.7, ,     2.1, ,   -13.8, ,     2.3, ,    16.2, ,     5.0, 
1915,   -12.3, ,   -10.3, ,    -6.2, ,     5.7, ,     8.9, ,    16.0, ,    18.1, ,    16.5, ,    14.1, ,     7.3, ,     -.4, ,    -8.9, ,     4.0, ,   -11.1, ,     2.8, ,    16.9, ,     7.0, 
1916,   -14.7, ,   -15.1, ,   -11.3, ,     4.6, ,    10.4, ,    16.0, ,    21.0, ,    19.1, ,    12.9, ,     5.5, ,    -3.4, , -9999.9,M, -9999.9,M,   -12.9, ,     1.2, ,    18.7, ,     5.0, 
1917,   -17.7, ,   -18.1, ,    -6.5, ,     1.7, ,     7.4, ,    15.7, ,    19.5, ,    18.3, ,    11.9, ,     4.3, ,    -4.5, ,   -16.6, ,     1.3, , -9999.9,M,      .9, ,    17.8, ,     3.9, 
1918,   -19.2, ,   -17.2, ,    -7.9, ,     2.0, ,    11.5, ,    13.1, ,    19.3, ,    16.6, ,    10.1, ,     6.2, ,     -.7, ,   -11.5, ,     1.9, ,   -17.7, ,     1.9, ,    16.3, ,     5.2, 
1919,   -13.6, ,   -11.7, ,    -5.9, ,      .9, ,    10.7, ,    19.1, ,    19.4, ,    16.6, ,    11.1, ,     4.5, ,    -3.5, ,   -13.7, ,     2.8, ,   -12.3, ,     1.9, ,    18.4, ,     4.0, 
1920,   -20.3, ,   -11.9, ,    -4.8, ,     2.3, ,    12.1, ,    16.7, ,    17.1, ,    19.9, ,    13.7, ,     8.5, ,    -4.3, ,    -8.1, ,     3.4, ,   -15.3, ,     3.2, ,    17.9, ,     6.0, 
1921,   -13.6, ,   -12.1, ,    -1.8, ,     7.2, ,    13.4, ,    18.7, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    -3.2, , -9999.9,M, -9999.9,M,   -11.3, ,     6.3, , -9999.9,M, -9999.9,M
1922, -9999.9,M,   -14.9, ,    -4.0, ,     8.2, ,    17.9, ,    18.5, ,    18.2, ,    16.2, ,    12.2, ,     4.7, ,    -2.5, ,   -13.5, , -9999.9,M, -9999.9,M,     7.4, ,    17.6, ,     4.8, 
1923,   -17.2, ,   -17.7, ,   -11.7, ,     -.3, ,     9.3, ,    16.5, ,    17.4, ,    15.1, ,    11.9, ,     6.9, ,    -1.2, ,    -4.4, ,     2.1, ,   -16.1, ,     -.9, ,    16.3, ,     5.9, 
1924,   -17.9, ,   -18.0, ,    -3.4, ,     1.0, ,     7.4, ,    14.8, ,    16.9, ,    16.2, ,    11.1, ,     5.3, ,    -1.2, ,   -14.8, ,     1.5, ,   -13.4, ,     1.7, ,    16.0, ,     5.1, 
1925,   -20.3, ,   -10.5, ,    -5.3, ,     2.4, ,     8.1, ,    15.2, ,    16.9, ,    17.8, , -9999.9,M,     2.0, ,    -3.4, ,   -10.5, , -9999.9,M,   -15.2, ,     1.7, ,    16.6, , -9999.9,M
1926,   -15.9, ,   -15.4, ,   -10.5, ,    -2.0, ,     7.5, ,    13.5, ,    17.3, ,    15.5, ,    10.7, ,     4.4, ,    -1.9, ,   -13.9, ,      .8, ,   -13.9, ,    -1.7, ,    15.4, ,     4.4, 
1927,   -15.3, ,   -14.0, ,    -3.8, ,     3.1, ,     8.6, ,    12.9, ,    17.4, ,    15.3, ,    12.0, ,     7.0, ,    -1.1, ,    -9.5, ,     2.7, ,   -14.4, ,     2.6, ,    15.2, ,     6.0, 
1928, -9999.9,M,   -14.1, ,    -7.6, ,      .7, ,    10.3, ,    14.9, ,    18.6, ,    18.5, ,    10.0, ,     5.3, ,    -3.2, , -9999.9,M, -9999.9,M, -9999.9,M,     1.1, ,    17.3, ,     4.0, 
1929,   -18.4, , -9999.9,M,    -5.9, ,     1.0, ,     9.8, ,    15.7, , -9999.9,M,    15.4, ,    12.8, ,     4.5, ,    -4.0, ,   -15.7, , -9999.9,M, -9999.9,M,     1.6, , -9999.9,M,     4.4, 
1930,   -14.4, ,   -14.9, ,    -7.6, ,     1.5, ,    11.7, ,    19.1, ,    17.2, ,    16.6, ,    12.6, ,     7.4, ,     -.6, ,   -10.4, ,     3.2, ,   -15.0, ,     1.9, ,    17.6, ,     6.5, 
1931,   -16.2, ,   -12.8, ,    -1.5, ,     4.8, ,    12.1, ,    15.4, ,    20.3, ,    16.7, ,    11.7, ,     7.3, ,     2.1, ,    -9.8, ,     4.2, ,   -13.1, ,     5.1, ,    17.5, ,     7.0, 
1932,    -8.3, ,   -14.3, ,    -9.0, ,     1.9, ,    10.9, ,    16.4, ,    17.7, ,    18.1, ,    13.0, ,     6.2, ,    -4.4, ,    -9.0, ,     3.3, ,   -10.8, ,     1.3, ,    17.4, ,     4.9, 
1933,    -9.9, ,   -11.6, ,    -7.0, ,     3.3, ,    10.7, ,    15.6, ,    18.9, ,    17.1, ,    12.8, ,     5.1, ,    -8.5, ,   -18.8, ,     2.3, ,   -10.2, ,     2.3, ,    17.2, ,     3.1, 
1934,   -16.3, ,   -21.2, ,    -9.0, ,     2.6, ,    11.6, ,    16.5, ,    19.3, , -9999.9,M,    15.3, , -9999.9,M,     -.1, ,   -14.2, , -9999.9,M,   -18.8, ,     1.7, , -9999.9,M, -9999.9,M
1935, -9999.9,M,   -16.5, ,    -9.4, ,     4.3, ,     8.1, ,    15.7, ,    19.0, ,    17.8, ,    10.1, ,     5.4, ,     -.7, , -9999.9,M, -9999.9,M, -9999.9,M,     1.0, ,    17.5, ,     4.9, 
1936,   -14.6, ,   -16.5, ,    -2.3, ,     2.1, ,     9.6, , -9999.9,M,    17.8, ,    15.7, ,    12.2, ,     4.4, ,    -5.9, ,   -11.0, , -9999.9,M, -9999.9,M,     3.1, , -9999.9,M,     3.6, 
1937,   -14.1, ,    -8.9, ,    -8.4, ,     3.7, ,    13.0, ,    17.3, ,    20.2, ,    20.9, ,    12.2, ,     6.9, ,     -.5, ,   -10.9, ,     4.3, ,   -11.3, ,     2.8, ,    19.5, ,     6.2, 
1938,   -14.6, ,   -14.5, ,    -6.5, ,     4.2, ,    10.5, ,    17.9, ,    19.2, ,    18.6, ,    11.3, ,     7.3, ,     -.8, ,    -9.7, ,     3.6, ,   -13.3, ,     2.7, ,    18.6, ,     5.9, 
1939,   -16.0, ,   -14.6, ,    -8.3, , -9999.9,M,    12.5, , -9999.9,M,    20.8, ,    18.7, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,   -13.4, , -9999.9,M, -9999.9,M, -9999.9,M
1940, -9999.9,M,   -13.5, , -9999.9,M,     1.5, , -9999.9,M, -9999.9,M, -9999.9,M,    16.6, , -9999.9,M, -9999.9,M,    -2.1, ,   -11.2, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M
1941, -9999.9,M,   -11.0, ,    -7.7, ,     5.0, ,    11.2, ,    16.3, ,    18.8, ,    14.9, ,    12.4, ,     4.8, ,    -1.8, ,    -8.9, , -9999.9,M, -9999.9,M,     2.8, ,    16.7, ,     5.1, 
1942,   -16.6, ,   -12.3, ,    -3.7, ,     3.8, ,    11.8, ,    16.4, ,    16.6, ,    16.0, ,    11.8, ,     6.8, ,    -1.5, ,   -14.8, ,     2.9, ,   -12.6, ,     4.0, ,    16.3, ,     5.7, 
1943,   -17.7, ,   -13.4, ,   -10.4, ,    -1.2, ,     9.9, ,    15.3, ,    19.4, ,    16.7, ,    11.6, ,     7.5, ,    -1.4, ,   -14.0, ,     1.9, ,   -15.3, ,     -.6, ,    17.1, ,     5.9, 
1944,   -11.1, ,   -15.2, ,    -9.4, ,      .5, ,    12.5, ,    15.8, ,    18.7, ,    18.4, ,    13.9, ,     5.5, ,     -.3, ,   -13.8, ,     3.0, ,   -13.4, ,     1.2, ,    17.6, ,     6.4, 
1945,   -18.8, ,   -11.3, ,    -2.5, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,     4.6, ,    -2.0, ,   -12.2, , -9999.9,M,   -14.6, , -9999.9,M, -9999.9,M, -9999.9,M
1946,   -15.6, ,   -16.8, ,    -1.7, ,     2.7, ,     8.7, ,    13.7, ,    17.0, ,    15.7, ,    13.9, ,     7.3, ,    -2.3, ,   -11.2, ,     2.6, ,   -14.9, ,     3.2, ,    15.5, ,     6.3, 
1947,   -15.7, ,   -13.8, ,    -3.7, ,    -1.8, ,     6.6, ,    15.2, ,    20.0, ,    19.3, ,    10.8, ,     9.1, ,    -1.8, ,   -12.4, ,     2.7, ,   -13.6, ,      .4, ,    18.2, ,     6.0, 
1948,   -16.9, ,   -18.0, ,    -8.2, ,     1.7, ,    10.2, ,    14.4, ,    18.0, , -9999.9,M, -9999.9,M,     6.0, ,     2.5, ,    -7.3, , -9999.9,M,   -15.8, ,     1.2, , -9999.9,M, -9999.9,M
1949,   -13.0, ,   -13.5, ,    -7.2, ,     4.5, ,     9.5, ,    17.3, ,    19.0, ,    17.6, ,    11.8, ,     7.7, ,    -4.2, ,    -7.2, ,     3.5, ,   -11.3, ,     2.3, ,    18.0, ,     5.1, 
1950,   -12.0, ,   -15.7, ,   -10.6, ,     1.0, ,    10.0, ,    15.0, ,    17.9, ,    15.8, ,    10.6, ,     6.7, ,      .8, ,    -7.9, ,     2.6, ,   -11.6, ,      .1, ,    16.2, ,     6.0, 
1951, -9999.9,M, -9999.9,M,    -4.9, ,     5.2, ,    11.3, ,    15.0, ,    17.9, ,    16.5, ,    12.7, ,     7.1, ,    -3.2, ,   -10.5, , -9999.9,M, -9999.9,M,     3.9, ,    16.5, ,     5.5, 
1952,   -15.2, ,   -10.0, ,    -3.2, ,     4.0, ,     9.9, ,    16.5, ,    21.2, ,    17.8, ,    13.0, ,     4.6, ,     -.1, ,    -6.4, ,     4.3, ,   -11.9, ,     3.6, ,    18.5, ,     5.8, 
1953,   -11.3, ,    -9.4, ,    -3.4, ,     5.0, ,    11.5, ,    16.4, ,    18.3, ,    17.0, , -9999.9,M,     7.1, ,     2.5, ,    -6.6, , -9999.9,M,    -9.0, ,     4.4, ,    17.2, , -9999.9,M
1954,   -17.1, ,    -6.7, ,    -5.5, ,     2.3, ,     9.9, ,    16.3, , -9999.9,M,    16.5, ,    11.9, ,     7.4, ,      .4, ,    -8.6, , -9999.9,M,   -10.1, ,     2.2, , -9999.9,M,     6.6, 
1955,   -13.9, ,   -11.4, ,    -6.8, ,     4.5, ,    12.9, ,    18.3, ,    20.8, ,    19.7, ,    11.6, ,     7.1, ,     -.6, ,   -13.6, ,     4.1, ,   -11.3, ,     3.5, ,    19.6, ,     6.0, 
1956,    -9.2, ,   -11.0, ,    -9.0, ,     2.2, ,     7.1, ,    16.0, ,    16.8, ,    16.2, ,    10.5, ,     6.9, ,    -1.2, ,   -10.9, ,     2.9, ,   -11.3, ,      .1, ,    16.3, ,     5.4, 
1957,   -18.3, ,   -10.1, ,    -4.2, ,     3.4, ,    10.3, ,    17.2, ,    18.0, ,    15.2, ,    13.2, ,     7.5, ,     1.5, ,    -7.3, ,     3.9, ,   -13.1, ,     3.2, ,    16.8, ,     7.4, 
