7080468,TEMISCAMINGUE  ,QC, station not joined, Monthly mean of homogenized daily mean temperature                     , °C,          Updated to December 2012
7080468,TEMISCAMINGUE  ,QC, station non-jointe, Moyenne mensuelle des températures homogénéisées moyennes quotidiennes , °C, Mise à jour jusqu à décembre 2012
Year,     Jan, ,     Feb, ,     Mar, ,     Apr, ,     May, ,     Jun, ,     Jul, ,     Aug, ,     Sep, ,     Oct, ,     Nov, ,     Dec, ,  Annual, ,  Winter, ,  Spring, ,  Summer, ,  Autumn
Year,    Janv, ,     Fév, ,    Mars, ,     Avr, ,     Mai, ,    Juin, ,    Juil, ,    Août, ,    Sept, ,     Oct, ,     Nov, ,     Déc, ,  Annuel, ,   Hiver, ,Printemp, ,     Eté, , Automne
1910, -9999.9,M, -9999.9,M, -9999.9,M,     7.6,a,    11.8,a, -9999.9,M,    19.4,a,    17.5,a,    12.2,a,     7.3,a,     -.4,a,   -11.3,a, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,     6.4,a
1911, -9999.9,M,   -11.0,a,    -5.7,a,     4.2,a, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    -3.7,a, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M
1912,   -17.9,a,   -11.9,a,    -8.3,a,     3.0,a,    11.2,a,    14.9,a,    19.1,a,    14.9,a,    14.3,a,     9.5,a,     1.7,a,    -1.8,a,     4.1,a,   -11.2,a,     2.0,a,    16.3,a,     8.5,a
1913,    -5.3,a,   -12.2,a,    -2.3,a,     7.1,a, -9999.9,M,    17.1,a,    19.3,a,    18.2,a,    13.7,a,    10.5,a,     2.6,a,    -2.8,a, -9999.9,M,    -6.4,a, -9999.9,M,    18.2,a,     8.9,a
1914,    -9.4,a,   -14.5,a,    -3.2,a,     4.0,a,    14.2,a,    17.1,a,    21.2,a,    22.8,a,    15.5,a,     9.2,a,    -1.5,a,    -9.3,a,     5.5,a,    -8.9,a,     5.0,a,    20.4,a,     7.7,a
1915,    -9.3,a,    -7.4,a,    -5.3,a,     7.0,a,     9.6,a,    14.3,a,    16.7,a,    16.7,a, -9999.9,M,     8.7,a, -9999.9,M,    -6.9,a, -9999.9,M,    -8.7,a,     3.8,a,    15.9,a, -9999.9,M
1916,    -8.9,a,   -13.8,a,    -7.5,a,     4.8,a,    10.2,a,    15.2,a,    21.4,a,    17.1,a,    11.0,a,     4.8,a, -9999.9,M,   -13.2,a, -9999.9,M,    -9.9,a,     2.5,a,    17.9,a, -9999.9,M
1917,   -15.9,a,   -14.7,a,    -4.7,a,     3.5,a,     9.4,a,    15.8,a,    20.6,a,    18.7,a,    14.0,a, -9999.9,M,      .0,a,   -12.4,a, -9999.9,M,   -14.6,a,     2.7,a,    18.4,a, -9999.9,M
1918,   -15.0,a,   -15.5,a,    -2.7,a,     7.9,a,    13.1,a,    15.5,a,    19.9,a,    19.2,a,    12.8,a,     9.8,a,     3.6,a, -9999.9,M, -9999.9,M,   -14.3,a,     6.1,a,    18.2,a,     8.7,a
1919,    -5.0,a, -9999.9,M, -9999.9,M, -9999.9,M,    13.1,a,    22.0,a,    22.5,a,    19.3,a,    15.2,a,     9.5,a,      .3,a,    -8.6,a, -9999.9,M, -9999.9,M, -9999.9,M,    21.3,a,     8.3,a
1920,   -12.2,a,    -7.7,a,      .0,a,     5.3,a,    13.1,a,    18.7,a,    18.7,a,    20.3,a,    16.8,a,    12.3,a,      .8,a,    -4.0,a,     6.8,a,    -9.5,a,     6.1,a,    19.2,a,    10.0,a
1921,    -6.8,a,    -6.1,a,      .9,a,     9.7,a,    14.4,a,    19.8,a,    24.4,a,    18.6,a,    16.9,a,    10.0,a,    -1.0,a,    -6.2,a,     7.9,a,    -5.6,a,     8.3,a,    20.9,a,     8.6,a
1922, -9999.9,M, -9999.9,M,    -1.8,a,     5.4,a,    14.1,a,    17.9,a,    19.5,a,    18.7,a, -9999.9,M,    12.7,a,     1.1,a,    -8.1,a, -9999.9,M, -9999.9,M,     5.9,a,    18.7,a, -9999.9,M
1923,   -12.7,a,   -12.4,a, -9999.9,M,     1.2,a,     9.7,a,    17.5,a,    19.2,a,    17.2,a,    15.3,a,     8.3,a,     1.5,a,    -1.4,a, -9999.9,M,   -11.1,a, -9999.9,M,    18.0,a,     8.4,a
1924,   -12.9,a,   -10.9,a,    -3.2,a,     3.0,a,     8.3,a,    14.9,a,    18.3,a,    17.4,a,    12.1,a,     8.0,a,      .0,a,    -7.7,a,     3.9,a,    -8.4,a,     2.7,a,    16.9,a,     6.7,a
1925,   -11.5,a,    -6.6,a,    -3.7,a,     4.8,a,     7.4,a, -9999.9,M,    17.0,a,    19.4,a,    13.7,a,     3.5,a,     -.7,a,    -7.4,a, -9999.9,M,    -8.6,a,     2.8,a, -9999.9,M,     5.5,a
1926,    -9.3,a,   -10.6,a,    -7.3,a,     -.5,a,     8.2,a, -9999.9,M,    18.2,a,    17.8,a,    12.7,a,     6.4,a,    -2.5,a,    -8.7,a, -9999.9,M,    -9.1,a,      .1,a, -9999.9,M,     5.5,a
