7088760,VILLE MARIE    ,QC, station not joined, Monthly mean of homogenized daily mean temperature                     , °C,          Updated to December 2012
7088760,VILLE MARIE    ,QC, station non-jointe, Moyenne mensuelle des températures homogénéisées moyennes quotidiennes , °C, Mise à jour jusqu à décembre 2012
Year,     Jan, ,     Feb, ,     Mar, ,     Apr, ,     May, ,     Jun, ,     Jul, ,     Aug, ,     Sep, ,     Oct, ,     Nov, ,     Dec, ,  Annual, ,  Winter, ,  Spring, ,  Summer, ,  Autumn
Year,    Janv, ,     Fév, ,    Mars, ,     Avr, ,     Mai, ,    Juin, ,    Juil, ,    Août, ,    Sept, ,     Oct, ,     Nov, ,     Déc, ,  Annuel, ,   Hiver, ,Printemp, ,     Eté, , Automne
1913, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    -6.4, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M
1914,   -11.4, ,   -18.7, ,    -6.3, ,     1.5, ,    11.0, , -9999.9,M,    18.5, ,    14.6, ,    13.5, ,     8.7, ,    -3.3, ,   -10.4, , -9999.9,M,   -12.2, ,     2.1, , -9999.9,M,     6.3, 
1915,   -12.4, ,    -9.5, ,    -7.7, ,     6.7, ,     8.8, ,    15.5, ,    16.8, ,    15.3, ,    12.6, ,     7.3, ,      .3, ,    -9.8, ,     3.7, ,   -10.8, ,     2.6, ,    15.9, ,     6.7, 
1916,   -12.6, ,   -18.5, ,   -11.8, ,     3.6, ,    10.5, ,    15.3, ,    21.3, ,    19.0, ,    11.3, ,     4.9, ,    -3.0, ,   -10.9, ,     2.4, ,   -13.6, ,      .8, ,    18.5, ,     4.4, 
1917,   -15.8, ,   -19.0, ,    -9.0, ,      .2, ,     6.2, ,    14.3, ,    19.6, ,    16.5, ,    11.7, ,     1.8, ,    -5.2, ,   -18.3, ,      .3, ,   -15.2, ,     -.9, ,    16.8, ,     2.8, 
1918,   -20.6, ,   -17.4, ,    -7.2, ,     2.8, ,    10.0, ,    12.7, ,    18.0, ,    16.0, ,     8.5, ,     6.3, ,     1.0, ,    -8.7, ,     1.8, ,   -18.8, ,     1.9, ,    15.6, ,     5.3, 
1919,   -12.2, ,   -11.3, ,    -6.2, ,     1.7, ,    11.0, ,    20.1, ,    20.5, ,    17.2, ,    12.3, ,     6.4, ,    -1.3, ,   -15.0, ,     3.6, ,   -10.7, ,     2.2, ,    19.3, ,     5.8, 
1920,   -21.6, ,   -15.6, ,    -6.0, ,      .4, ,    11.0, , -9999.9,M, -9999.9,M,    18.5, ,    14.6, ,     9.3, ,    -3.6, ,    -9.1, , -9999.9,M,   -17.4, ,     1.8, , -9999.9,M,     6.8, 
1921,   -12.2, ,   -13.6, ,    -3.9, ,     5.5, ,    12.1, ,    18.2, ,    23.3, ,    16.8, ,    14.9, ,     6.0, ,    -5.3, ,   -10.8, ,     4.3, ,   -11.6, ,     4.6, ,    19.4, ,     5.2, 
1922,   -16.1, ,   -13.6, ,    -5.6, ,     3.7, ,    13.9, ,    16.7, ,    18.3, ,    16.6, ,    14.4, ,     3.6, ,     -.7, ,   -11.0, ,     3.4, ,   -13.5, ,     4.0, ,    17.2, ,     5.8, 
1923,   -18.3, ,   -17.2, ,   -12.4, ,    -1.1, ,     8.4, ,    16.3, ,    17.3, ,    15.2, ,    12.3, ,     5.6, ,     -.9, ,    -4.2, ,     1.8, ,   -15.5, ,    -1.7, ,    16.3, ,     5.7, 
1924,   -18.7, ,   -17.1, ,    -5.8, ,      .6, , -9999.9,M,    14.4, ,    17.1, ,    16.1, ,    11.5, ,     7.0, ,    -1.6, ,   -16.1, , -9999.9,M,   -13.3, , -9999.9,M,    15.9, ,     5.6, 
