7091404,CHIBOUGAMAU    ,QC, station joined    , Monthly mean of homogenized daily mean temperature                     , °C,          Updated to December 2012
7091404,CHIBOUGAMAU    ,QC, station jointe    , Moyenne mensuelle des températures homogénéisées moyennes quotidiennes , °C, Mise à jour jusqu à décembre 2012
Year,     Jan, ,     Feb, ,     Mar, ,     Apr, ,     May, ,     Jun, ,     Jul, ,     Aug, ,     Sep, ,     Oct, ,     Nov, ,     Dec, ,  Annual, ,  Winter, ,  Spring, ,  Summer, ,  Autumn
Year,    Janv, ,     Fév, ,    Mars, ,     Avr, ,     Mai, ,    Juin, ,    Juil, ,    Août, ,    Sept, ,     Oct, ,     Nov, ,     Déc, ,  Annuel, ,   Hiver, ,Printemp, ,     Eté, , Automne
1914, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    16.4, ,    13.5, ,    11.3, ,     4.3, ,    -8.8, ,   -15.5, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,     2.3, 
1915,   -17.5, ,   -15.1, ,   -10.6, ,      .5, ,     5.5, ,    13.2, ,    14.9, ,    14.4, ,    10.1, ,     4.5, ,    -3.0, ,   -12.6, ,      .4, ,   -16.0, ,    -1.5, ,    14.2, ,     3.9, 
1916,   -19.3, ,   -20.7, ,   -16.3, ,      .4, ,     6.3, ,    14.3, ,    18.9, ,    16.1, ,     9.2, ,     2.1, ,    -7.5, ,   -14.5, ,     -.9, ,   -17.5, ,    -3.2, ,    16.4, ,     1.3, 
1917,   -24.5, ,   -22.6, ,   -11.8, ,    -2.7, ,     3.5, ,    12.1, ,    17.4, ,    14.8, ,     9.7, ,     1.5, ,    -7.3, ,   -21.5, ,    -2.6, ,   -20.5, ,    -3.7, ,    14.8, ,     1.3, 
1918,   -21.1, ,   -22.7, ,   -14.3, ,    -1.9, ,     4.6, ,     9.8, ,    15.4, ,    11.2, ,     6.2, ,     2.8, ,    -3.9, ,   -13.8, ,    -2.3, ,   -21.8, ,    -3.9, ,    12.1, ,     1.7, 
1919,   -19.0, ,   -14.8, ,   -11.6, ,    -2.3, ,     6.1, ,    15.8, ,    16.1, ,    14.8, ,     8.3, ,      .5, ,    -7.2, ,   -21.0, ,    -1.2, ,   -15.9, ,    -2.6, ,    15.6, ,      .5, 
1920,   -24.8, ,   -16.1, ,   -11.4, ,    -1.1, ,     7.8, ,    13.4, ,    14.2, ,    16.4, ,    11.7, ,     5.7, ,    -7.7, ,   -13.2, ,     -.4, ,   -20.6, ,    -1.6, ,    14.7, ,     3.2, 
1921,   -18.5, ,   -19.0, ,    -9.9, ,    -1.0, ,     9.0, ,    13.0, ,    19.4, ,    12.1, ,     9.6, ,     1.7, ,    -8.2, ,   -15.2, ,     -.6, ,   -16.9, ,     -.6, ,    14.8, ,     1.0, 
1922,   -21.1, ,   -19.4, ,    -9.6, ,    -1.1, ,     7.3, ,    12.5, ,    14.4, ,    12.8, ,     8.7, ,      .3, ,    -6.8, ,   -20.2, ,    -1.9, ,   -18.6, ,    -1.1, ,    13.2, ,      .7, 
1923,   -22.0, ,   -22.8, ,   -18.4, ,    -6.3, ,     4.0, ,    11.8, ,    13.3, ,    11.3, ,     9.7, ,     5.5, ,    -3.4, ,   -10.3, ,    -2.3, ,   -21.7, ,    -6.9, ,    12.1, ,     3.9, 
1924,   -22.5, ,   -19.9, ,    -6.5, ,    -1.3, ,     2.7, ,    11.4, ,    14.4, ,    13.8, ,    10.4, ,     5.2, ,    -4.3, ,   -18.5, ,    -1.3, ,   -17.6, ,    -1.7, ,    13.2, ,     3.8, 
1925,   -23.3, ,   -15.6, ,    -9.3, ,    -3.5, ,     3.7, ,    11.6, ,    14.8, ,    16.8, ,     8.7, ,    -1.1, ,    -4.8, ,   -14.0, ,    -1.3, ,   -19.1, ,    -3.0, ,    14.4, ,      .9, 
1926,   -22.3, ,   -20.7, ,   -16.0, ,    -8.1, ,     2.6, ,     9.1, ,    13.9, ,    13.6, ,     8.0, ,     2.5, ,    -8.3, ,   -16.7, ,    -3.5, ,   -19.0, ,    -7.2, ,    12.2, ,      .7, 
1927,   -19.0, ,   -18.0, ,    -9.4, ,    -2.9, ,     4.2, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    -7.5, ,   -14.9, , -9999.9,M,   -17.9, ,    -2.7, , -9999.9,M, -9999.9,M
1928,   -23.3, ,   -20.7, ,   -13.5, , -9999.9,M,     4.4, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,     2.0, ,    -6.1, ,   -10.6, , -9999.9,M,   -19.6, , -9999.9,M, -9999.9,M, -9999.9,M
1929,   -22.3, ,   -20.4, ,   -14.5, ,    -6.1, ,     1.8, ,    11.3, ,    13.0, , -9999.9,M,     7.9, ,      .7, ,    -7.5, ,   -20.6, , -9999.9,M,   -17.8, ,    -6.3, , -9999.9,M,      .4, 
1930,   -21.1, ,   -18.9, ,   -12.4, ,    -3.5, ,     6.0, ,    14.8, ,    13.6, ,    13.8, ,     9.6, ,     5.3, ,    -2.5, ,   -12.5, ,     -.7, ,   -20.2, ,    -3.3, ,    14.1, ,     4.1, 
1931,   -21.3, ,   -18.1, ,    -5.2, ,     -.7, ,     6.5, ,    13.2, ,    17.3, ,    14.5, ,     8.8, ,     5.0, ,    -1.1, ,   -14.0, ,      .4, ,   -17.3, ,      .2, ,    15.0, ,     4.2, 
1932,   -15.1, ,   -21.1, ,   -13.7, ,    -3.2, ,     5.4, ,    11.8, ,    13.2, ,    15.4, ,     9.7, ,     2.2, ,    -9.2, ,   -16.0, ,    -1.7, ,   -16.7, ,    -3.8, ,    13.5, ,      .9, 
1933, -9999.9,M,   -17.8, ,   -13.3, ,    -1.9, ,     3.6, ,    11.4, ,    15.6, ,    15.2, ,    10.2, , -9999.9,M,   -13.5, ,   -23.6, , -9999.9,M, -9999.9,M,    -3.9, ,    14.1, , -9999.9,M
1934,   -21.9, ,   -25.7, ,   -14.0, ,    -1.8, ,     4.3, ,    11.7, ,    15.0, ,    12.3, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,   -23.7, ,    -3.8, ,    13.0, , -9999.9,M
1935, -9999.9,M, -9999.9,M,   -13.9, ,    -1.8, ,     4.8, ,    13.3, ,    15.7, ,    15.3, ,     7.4, ,     2.8, ,    -6.6, ,   -15.5, , -9999.9,M, -9999.9,M,    -3.6, ,    14.8, ,     1.2, 
1936,   -20.3, ,   -21.0, ,    -7.3, ,    -3.6, ,     2.6, ,    10.0, ,    14.7, ,    12.8, ,    12.2, ,      .3, ,   -11.2, ,   -16.8, ,    -2.3, ,   -18.9, ,    -2.8, ,    12.5, ,      .4, 
1937,   -19.2, ,   -12.3, ,   -13.4, ,    -1.1, ,     7.6, ,    12.3, ,    16.7, ,    16.7, , -9999.9,M,     2.8, ,    -4.6, ,   -15.3, , -9999.9,M,   -16.1, ,    -2.3, ,    15.2, , -9999.9,M
1938,   -21.1, ,   -19.7, ,   -11.0, ,    -3.5, ,     6.1, ,    12.9, ,    15.5, ,    14.4, ,     9.3, ,     4.6, ,    -5.0, ,   -13.0, ,     -.9, ,   -18.7, ,    -2.8, ,    14.3, ,     3.0, 
