710S005,INUKJUAK       ,QC, station joined    , Monthly mean of homogenized daily mean temperature                     , °C,          Updated to December 2012
710S005,INUKJUAK       ,QC, station jointe    , Moyenne mensuelle des températures homogénéisées moyennes quotidiennes , °C, Mise à jour jusqu à décembre 2012
Year,     Jan, ,     Feb, ,     Mar, ,     Apr, ,     May, ,     Jun, ,     Jul, ,     Aug, ,     Sep, ,     Oct, ,     Nov, ,     Dec, ,  Annual, ,  Winter, ,  Spring, ,  Summer, ,  Autumn
Year,    Janv, ,     Fév, ,    Mars, ,     Avr, ,     Mai, ,    Juin, ,    Juil, ,    Août, ,    Sept, ,     Oct, ,     Nov, ,     Déc, ,  Annuel, ,   Hiver, ,Printemp, ,     Eté, , Automne
1921, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    -6.5, ,   -18.9, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M
1922,   -26.3, ,   -31.8, ,   -22.1, ,   -10.1, ,      .0, ,      .2, ,     7.6, ,     6.8, ,     4.0, ,    -3.0, , -9999.9,M, -9999.9,M, -9999.9,M,   -25.7, ,   -10.7, ,     4.9, , -9999.9,M
1923,   -28.1, ,   -28.6, ,   -28.3, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,     4.1, ,      .7, ,    -5.8, ,   -17.0, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,     -.3, 
1924,   -27.5, ,   -23.7, ,   -13.3, ,    -6.7, ,      .8, ,     6.7, , -9999.9,M,    10.3, ,     7.3, ,     1.0, ,    -6.6, ,   -17.6, , -9999.9,M,   -22.7, ,    -6.4, , -9999.9,M,      .6, 
1925, -9999.9,M,   -28.2, ,   -21.0, ,   -11.0, , -9999.9,M,     2.2, ,     7.9, ,     8.0, ,     4.1, ,    -3.2, ,    -8.1, ,   -16.5, , -9999.9,M, -9999.9,M, -9999.9,M,     6.0, ,    -2.4, 
1926,   -30.4, ,   -30.5, ,   -25.5, ,   -15.6, , -9999.9,M,     2.8, ,     5.9, ,     8.6, ,     5.6, ,     -.8, ,   -10.4, ,   -19.5, , -9999.9,M,   -25.8, , -9999.9,M,     5.8, ,    -1.9, 
1927,   -26.5, ,   -25.6, ,   -17.6, ,    -8.8, ,    -3.9, ,     2.2, ,     6.6, , -9999.9,M,     4.9, ,     -.5, ,    -6.8, ,   -19.2, , -9999.9,M,   -23.9, ,   -10.1, , -9999.9,M,     -.8, 
1928,   -28.0, ,   -27.5, ,   -21.5, ,   -14.5, ,     -.5, ,     5.6, ,    10.8, ,     7.8, ,     3.8, ,     -.5, ,    -8.3, ,   -14.1, ,    -7.2, ,   -24.9, ,   -12.2, ,     8.1, ,    -1.7, 
1929,   -24.5, ,   -27.1, ,   -25.4, ,   -14.9, ,    -4.5, ,     1.2, ,     4.6, , -9999.9,M,     2.5, ,     -.3, ,   -11.1, ,   -25.2, , -9999.9,M,   -21.9, ,   -14.9, , -9999.9,M,    -3.0, 
1930, -9999.9,M,   -29.5, ,   -18.6, ,   -12.9, ,    -1.4, ,     5.5, ,     7.3, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,   -11.0, , -9999.9,M, -9999.9,M
1931, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M
1932, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,     7.3, ,     5.3, ,      .6, ,    -7.6, ,   -21.8, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,     -.6, 
1933,   -27.0, ,   -31.7, ,   -23.0, , -9999.9,M,     -.3, , -9999.9,M, -9999.9,M,     6.7, ,     6.3, ,    -1.3, ,   -15.4, ,   -29.1, , -9999.9,M,   -26.8, , -9999.9,M, -9999.9,M,    -3.5, 
1934,   -27.3, ,   -31.4, ,   -24.9, ,    -8.5, , -9999.9,M,     4.2, ,     8.7, ,     8.1, ,     4.3, ,      .2, ,    -9.3, ,   -17.1, , -9999.9,M,   -29.3, , -9999.9,M,     7.0, ,    -1.6, 
1935, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    -1.8, , -9999.9,M,     9.5, , -9999.9,M,     7.5, ,      .3, ,   -12.2, ,   -21.4, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    -1.5, 
1936, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,     4.6, ,    -3.7, ,   -15.4, ,   -22.1, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    -4.8, 
