7116270,QUAQTAQ        ,QC, station joined    , Monthly mean of homogenized daily mean temperature                     , °C,          Updated to December 2012
7116270,QUAQTAQ        ,QC, station jointe    , Moyenne mensuelle des températures homogénéisées moyennes quotidiennes , °C, Mise à jour jusqu à décembre 2012
Year,     Jan, ,     Feb, ,     Mar, ,     Apr, ,     May, ,     Jun, ,     Jul, ,     Aug, ,     Sep, ,     Oct, ,     Nov, ,     Dec, ,  Annual, ,  Winter, ,  Spring, ,  Summer, ,  Autumn
Year,    Janv, ,     Fév, ,    Mars, ,     Avr, ,     Mai, ,    Juin, ,    Juil, ,    Août, ,    Sept, ,     Oct, ,     Nov, ,     Déc, ,  Annuel, ,   Hiver, ,Printemp, ,     Eté, , Automne
1943,   -18.3,a,   -26.3,a,   -21.6,a,   -13.4,a,    -4.8,a,     1.0,a,     4.8,a,     3.6,a,     2.5,a,    -1.9,a,    -7.2,a,   -16.8,a,    -8.2,a, -9999.9,M,   -13.3,a,     3.1,a,    -2.2,a
1944,   -20.1,a,   -23.8,a,   -19.3,a,    -9.2,a,    -4.3,a,     1.5,a,     5.8,a,     6.7,a,     2.5,a,    -2.9,a,    -8.2,a,   -17.3,a,    -7.4,a,   -20.2,a,   -10.9,a,     4.7,a,    -2.9,a
1945,   -19.8,a,   -22.9,a,   -15.1,a,   -13.7,a,    -3.5,a,     1.7,a,     5.5,a,     5.1,a,     2.1,a,    -1.6,a,    -6.0,a,   -15.3,a,    -7.0,a,   -20.0,a,   -10.8,a,     4.1,a,    -1.8,a
1946,   -26.4,a,   -22.9,a,   -16.3,a,   -11.7,a,    -3.4,a,      .8,a,     4.4,a,     5.6,a,     2.2,a,    -2.1,a,    -8.0,a,   -13.9,a,    -7.6,a,   -21.5,a,   -10.5,a,     3.6,a,    -2.6,a
1947,   -20.8,a,    -9.2,a,   -15.3,a,   -12.4,a,    -3.9,a,     1.8,a,     6.6,a, -9999.9,M,     3.2,a,     -.3,a,    -4.6,a,    -9.4,a, -9999.9,M,   -14.6,a,   -10.5,a, -9999.9,M,     -.6,a
1948,   -20.7,a,   -23.0,a,   -22.1,a, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    -4.2,a,   -11.4,a, -9999.9,M,   -17.7,a, -9999.9,M, -9999.9,M, -9999.9,M
1949,   -21.5,a,   -27.3,a,   -18.1,a,   -11.2,a,    -5.0,a,     3.7,a,     6.5,a,     6.4,a,     2.8,a,    -1.5,a,    -7.3,a,   -13.5,a,    -7.2,a,   -20.1,a,   -11.4,a,     5.5,a,    -2.0,a
1950,   -27.1,a,   -24.1,a,   -15.7,a,   -10.2,a,    -2.5,a,     1.6,a,     5.0,a,     6.2,a,     1.7,a,    -3.5,a,    -8.1,a,   -12.8,a,    -7.5,a,   -21.6,a,    -9.5,a,     4.3,a,    -3.3,a
1951,   -24.2,a,   -23.5,a,   -13.4,a,    -8.3,a,    -3.6,a,     3.9,a,     6.1,a,     5.8,a,     2.7,a,    -2.1,a,    -9.3,a,   -20.1,a,    -7.2,a,   -20.2,a,    -8.4,a,     5.3,a,    -2.9,a
1952,   -24.3,a,   -21.8,a,   -15.2,a,    -9.5,a,     -.4,a,     2.5,a,     7.5,a,     6.7,a,     1.9,a,    -3.5,a,    -6.9,a,   -11.0,a,    -6.2,a,   -22.1,a,    -8.4,a,     5.6,a,    -2.8,a
