7117825,SCHEFFERVILLE  ,QC, station not joined, Monthly mean of homogenized daily mean temperature                     , °C,          Updated to December 2012
7117825,SCHEFFERVILLE  ,QC, station non-jointe, Moyenne mensuelle des températures homogénéisées moyennes quotidiennes , °C, Mise à jour jusqu à décembre 2012
Year,     Jan, ,     Feb, ,     Mar, ,     Apr, ,     May, ,     Jun, ,     Jul, ,     Aug, ,     Sep, ,     Oct, ,     Nov, ,     Dec, ,  Annual, ,  Winter, ,  Spring, ,  Summer, ,  Autumn
Year,    Janv, ,     Fév, ,    Mars, ,     Avr, ,     Mai, ,    Juin, ,    Juil, ,    Août, ,    Sept, ,     Oct, ,     Nov, ,     Déc, ,  Annuel, ,   Hiver, ,Printemp, ,     Eté, , Automne
1948, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,     7.2, ,     2.3, ,    -6.0, ,   -17.8, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,     1.2, 
1949,   -23.2, ,   -26.3, ,   -16.6, ,    -7.4, ,    -1.0, ,    10.0, ,    12.3, ,    10.0, ,     6.6, ,      .1, ,   -12.1, ,   -17.6, ,    -5.4, ,   -22.4, ,    -8.3, ,    10.8, ,    -1.8, 
1950,   -28.4, ,   -28.0, ,   -15.2, ,    -6.5, ,     2.3, ,     7.3, ,    11.9, ,    11.5, ,     4.5, ,    -2.5, ,    -9.1, ,   -16.4, ,    -5.7, ,   -24.7, ,    -6.5, ,    10.2, ,    -2.4, 
1951,   -24.9, ,   -18.3, ,   -12.1, ,    -1.1, ,      .6, ,    10.4, ,    12.1, ,    12.0, ,     5.8, ,    -2.0, ,   -11.4, ,   -20.0, ,    -4.1, ,   -19.9, ,    -4.2, ,    11.5, ,    -2.5, 
1952,   -24.6, ,   -20.0, ,   -10.7, ,    -5.9, ,     4.7, ,     8.9, ,    14.9, ,    11.2, ,     5.3, ,    -3.3, ,    -9.7, ,   -12.6, ,    -3.5, ,   -21.5, ,    -4.0, ,    11.7, ,    -2.6, 
1953,   -23.2, ,   -20.0, ,   -13.2, ,     -.1, ,     1.8, ,     8.3, ,    13.2, ,    10.5, ,     5.3, ,     -.7, ,    -7.4, ,   -21.3, ,    -3.9, ,   -18.6, ,    -3.8, ,    10.7, ,     -.9, 
1954,   -29.0, ,   -18.2, ,   -14.5, ,   -12.7, ,     3.7, ,    12.6, ,    13.3, ,    10.8, ,     6.9, ,     -.5, ,   -10.9, ,   -18.0, ,    -4.7, ,   -22.8, ,    -7.8, ,    12.2, ,    -1.5, 
1955,   -19.3, ,   -21.8, ,   -16.4, ,    -6.5, ,     3.1, ,    12.4, ,    12.5, ,    12.1, ,     4.9, ,      .5, ,    -5.2, ,   -14.3, ,    -3.2, ,   -19.7, ,    -6.6, ,    12.3, ,      .1, 
1956,   -16.0, ,   -20.3, ,   -18.1, ,    -6.6, ,    -3.6, ,     5.1, ,    12.2, ,     9.5, ,     4.1, ,      .4, ,   -10.5, ,   -25.7, ,    -5.8, ,   -16.9, ,    -9.4, ,     8.9, ,    -2.0, 
1957,   -30.1, ,   -20.6, ,    -8.7, ,    -7.2, ,    -1.8, ,     8.4, ,    13.4, ,     9.7, ,     6.4, ,     -.1, ,    -8.2, ,   -15.9, ,    -4.6, ,   -25.5, ,    -5.9, ,    10.5, ,     -.6, 
