8101200,DOAKTOWN       ,NB, station not joined, Monthly mean of homogenized daily mean temperature                     , °C,          Updated to December 2012
8101200,DOAKTOWN       ,NB, station non-jointe, Moyenne mensuelle des températures homogénéisées moyennes quotidiennes , °C, Mise à jour jusqu à décembre 2012
Year,     Jan, ,     Feb, ,     Mar, ,     Apr, ,     May, ,     Jun, ,     Jul, ,     Aug, ,     Sep, ,     Oct, ,     Nov, ,     Dec, ,  Annual, ,  Winter, ,  Spring, ,  Summer, ,  Autumn
Year,    Janv, ,     Fév, ,    Mars, ,     Avr, ,     Mai, ,    Juin, ,    Juil, ,    Août, ,    Sept, ,     Oct, ,     Nov, ,     Déc, ,  Annuel, ,   Hiver, ,Printemp, ,     Eté, , Automne
1952, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    15.7, ,    11.1, , -9999.9,M,     3.3, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M
1953, -9999.9,M, -9999.9,M,    -1.5, ,     4.9, ,     8.2, ,    13.0, ,    18.5, ,    16.1, ,    14.2, ,     6.1, ,     4.2, ,    -1.8, , -9999.9,M, -9999.9,M,     3.9, ,    15.9, ,     8.2, 
1954,   -11.5, ,    -6.7, ,    -1.9, ,     2.4, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    -6.7, , -9999.9,M, -9999.9,M, -9999.9,M
1955,    -7.3, ,    -8.2, ,    -4.8, ,     2.5, ,    10.6, ,    13.0, ,    19.9, ,    17.5, ,    11.7, ,     7.3, ,     1.9, ,   -11.4, ,     4.4, , -9999.9,M,     2.8, ,    16.8, ,     7.0, 
1956,    -3.8, ,   -10.3, ,    -6.8, ,     2.8, ,     6.8, ,    15.0, ,    15.1, ,    16.3, ,    11.8, ,     8.0, ,     4.1, ,    -7.1, ,     4.3, ,    -8.5, ,      .9, ,    15.5, ,     8.0, 
1957,   -13.6, ,    -9.5, ,    -2.9, ,     3.4, ,     9.5, ,    15.4, ,    17.3, ,    17.1, ,    12.7, ,     7.1, ,      .5, ,    -4.5, ,     4.4, ,   -10.1, ,     3.3, ,    16.6, ,     6.8, 
1958,    -5.2, ,   -10.0, ,    -2.6, ,     2.9, ,     6.2, ,    10.6, ,    15.3, ,    19.1, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    -6.6, ,     2.2, ,    15.0, , -9999.9,M
1959, -9999.9,M,   -10.5, , -9999.9,M,     4.3, ,    10.3, ,    12.3, ,    19.8, ,    15.4, ,    12.7, ,     7.0, ,      .5, ,    -5.3, , -9999.9,M, -9999.9,M, -9999.9,M,    15.8, ,     6.7, 
1960,   -11.9, ,    -7.5, ,    -7.5, , -9999.9,M,    11.5, ,    13.7, , -9999.9,M, -9999.9,M,     9.3, , -9999.9,M, -9999.9,M,    -9.1, , -9999.9,M,    -8.2, , -9999.9,M, -9999.9,M, -9999.9,M
1961,   -15.1, ,   -11.4, ,    -5.3, ,     2.2, , -9999.9,M,    14.4, ,    17.2, ,    17.6, ,    14.7, ,     6.9, , -9999.9,M, -9999.9,M, -9999.9,M,   -11.9, , -9999.9,M,    16.4, , -9999.9,M
1962,   -12.9, , -9999.9,M,     -.9, ,     3.1, ,     9.0, ,    15.9, ,    15.1, ,    17.4, ,    12.2, ,     6.3, ,      .2, ,    -6.7, , -9999.9,M, -9999.9,M,     3.7, ,    16.1, ,     6.2, 
1963,    -8.3, ,   -12.7, ,    -5.9, ,     2.3, ,    10.1, ,    15.7, ,    20.0, ,    16.2, , -9999.9,M, -9999.9,M,     2.8, , -9999.9,M, -9999.9,M,    -9.2, ,     2.2, ,    17.3, , -9999.9,M
1964,    -8.6, ,    -7.6, ,    -2.7, ,     4.2, ,    10.8, ,    15.4, ,    19.3, ,    16.0, ,    10.7, ,     6.4, ,    -1.1, ,    -6.6, ,     4.7, , -9999.9,M,     4.1, ,    16.9, ,     5.3, 
