8101500,FREDERICTON    ,NB, station joined    , Monthly mean of homogenized daily mean temperature                     , °C,          Updated to December 2012
8101500,FREDERICTON    ,NB, station jointe    , Moyenne mensuelle des températures homogénéisées moyennes quotidiennes , °C, Mise à jour jusqu à décembre 2012
Year,     Jan, ,     Feb, ,     Mar, ,     Apr, ,     May, ,     Jun, ,     Jul, ,     Aug, ,     Sep, ,     Oct, ,     Nov, ,     Dec, ,  Annual, ,  Winter, ,  Spring, ,  Summer, ,  Autumn
Year,    Janv, ,     Fév, ,    Mars, ,     Avr, ,     Mai, ,    Juin, ,    Juil, ,    Août, ,    Sept, ,     Oct, ,     Nov, ,     Déc, ,  Annuel, ,   Hiver, ,Printemp, ,     Eté, , Automne
1871, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,   -10.4, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M
1872,    -9.9, ,    -8.3, ,    -7.7, ,     3.9, ,     9.7, ,    17.1, ,    19.2, ,    18.5, ,    13.8, ,     7.2, ,      .8, ,   -12.3, ,     4.3, ,    -9.5, ,     2.0, ,    18.3, ,     7.3, 
1873, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M
1874,    -7.3, ,    -9.2, ,    -3.1, ,      .2, ,    10.2, ,    14.6, ,    18.8, ,    16.5, ,    14.1, , -9999.9,M,     -.5, , -9999.9,M, -9999.9,M, -9999.9,M,     2.4, ,    16.6, , -9999.9,M
1875,   -15.3, ,   -12.7, ,    -6.9, ,     1.7, ,     9.7, ,    15.8, ,    18.7, ,    20.1, ,    11.6, ,     5.5, ,    -4.2, ,    -9.5, ,     2.9, , -9999.9,M,     1.5, ,    18.2, ,     4.3, 
1876,   -10.9, ,    -9.3, ,    -4.5, ,     2.6, ,     8.7, ,    16.9, ,    18.9, ,    18.8, ,    12.0, ,     5.4, ,     1.7, ,   -10.6, ,     4.1, ,    -9.9, ,     2.3, ,    18.2, ,     6.4, 
1877,   -14.3, ,    -6.8, ,    -4.5, ,     5.3, ,    10.2, ,    17.5, ,    19.9, ,    18.9, ,    14.7, ,     5.6, ,     1.2, ,    -6.1, ,     5.1, ,   -10.6, ,     3.7, ,    18.8, ,     7.2, 
1878,   -10.6, ,    -8.3, ,    -2.1, ,     6.1, ,    11.1, ,    16.9, ,    19.2, ,    18.4, ,    14.8, ,     9.0, ,      .7, ,    -6.4, ,     5.7, ,    -8.3, ,     5.0, ,    18.2, ,     8.2, 
1879,   -12.1, ,    -9.9, ,    -4.7, ,     2.4, ,    11.9, ,    14.7, ,    17.9, ,    17.1, ,    12.9, ,     8.4, ,    -1.0, ,   -11.0, ,     3.9, ,    -9.5, ,     3.2, ,    16.6, ,     6.8, 
1880,    -8.6, ,    -9.2, ,    -7.5, ,     2.8, ,    11.9, ,    17.2, ,    19.8, ,    17.9, ,    15.1, ,     8.0, ,    -3.1, ,    -8.3, ,     4.7, ,    -9.6, ,     2.4, ,    18.3, ,     6.7, 
