8104400,REXTON         ,NB, station not joined, Monthly mean of homogenized daily mean temperature                     , °C,          Updated to December 2012
8104400,REXTON         ,NB, station non-jointe, Moyenne mensuelle des températures homogénéisées moyennes quotidiennes , °C, Mise à jour jusqu à décembre 2012
Year,     Jan, ,     Feb, ,     Mar, ,     Apr, ,     May, ,     Jun, ,     Jul, ,     Aug, ,     Sep, ,     Oct, ,     Nov, ,     Dec, ,  Annual, ,  Winter, ,  Spring, ,  Summer, ,  Autumn
Year,    Janv, ,     Fév, ,    Mars, ,     Avr, ,     Mai, ,    Juin, ,    Juil, ,    Août, ,    Sept, ,     Oct, ,     Nov, ,     Déc, ,  Annuel, ,   Hiver, ,Printemp, ,     Eté, , Automne
1924, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,     7.9,a, -9999.9,M,    -9.3,a, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M
1925,   -14.3,a,    -5.4,a,     -.5,a,     3.2,a,     9.5,a,    16.5,a,    18.9,a,    19.3,a,    12.2,a,     4.4,a,      .9,a,    -6.5,a,     4.9,a,    -9.7,a,     4.1,a,    18.2,a,     5.8,a
1926,    -9.7,a,    -9.1,a,    -6.4,a,      .7,a,     7.5,a, -9999.9,M,    20.1,a,    17.1,a,    12.9,a,     8.1,a,     3.0,a,    -6.8,a, -9999.9,M,    -8.4,a,      .6,a, -9999.9,M,     8.0,a
1927,    -5.0,a,    -9.5,a,    -2.1,a,     3.2,a,     8.3,a,    14.2,a,    19.8,a,    17.8,a,    14.5,a,     9.9,a,     3.8,a,    -1.6,a,     6.1,a,    -7.1,a,     3.1,a,    17.3,a,     9.4,a
1928,    -9.4,a,    -7.2,a,    -2.4,a,     3.8,a,    10.6,a,    14.7,a,    19.6,a, -9999.9,M, -9999.9,M,     7.7,a,      .2,a,    -3.4,a, -9999.9,M,    -6.1,a,     4.0,a, -9999.9,M, -9999.9,M
1929,    -7.9,a,    -9.1,a,    -2.4,a,     2.0,a,     9.3,a,    16.0,a,    19.1,a,    18.4,a,    15.1,a, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    -6.8,a,     3.0,a,    17.8,a, -9999.9,M
1930, -9999.9,M, -9999.9,M, -9999.9,M,     3.7,a,    10.5,a,    20.0,a,    20.1,a,    19.0,a,    14.4,a,     9.4,a,     2.5,a,    -5.1,a, -9999.9,M, -9999.9,M, -9999.9,M,    19.7,a,     8.8,a
1931,    -9.6,a,    -5.9,a,     -.2,a,     5.4,a,    10.5,a,    14.4,a,    20.8,a,    19.1,a,    13.2,a,     9.5,a,     4.8,a,    -5.2,a,     6.4,a,    -6.9,a,     5.2,a,    18.1,a,     9.2,a
1932,    -4.7,a,   -10.5,a,    -3.0,a,     3.4,a,    11.2,a,    15.3,a,    18.6,a,    19.9,a,    14.9,a,    10.1,a,     1.5,a,    -3.7,a,     6.1,a,    -6.8,a,     3.9,a,    17.9,a,     8.8,a
1933,    -5.0,a,    -5.3,a,    -5.0,a,     2.9,a,    10.4,a,    16.2,a,    19.3,a,    19.3,a,    14.8,a,     8.7,a,    -2.8,a,   -11.0,a,     5.2,a,    -4.7,a,     2.8,a,    18.3,a,     6.9,a
