8202810,KENTVILLE      ,NS, station joined    , Monthly mean of homogenized daily mean temperature                     , °C,          Updated to December 2012
8202810,KENTVILLE      ,NS, station jointe    , Moyenne mensuelle des températures homogénéisées moyennes quotidiennes , °C, Mise à jour jusqu à décembre 2012
Year,     Jan, ,     Feb, ,     Mar, ,     Apr, ,     May, ,     Jun, ,     Jul, ,     Aug, ,     Sep, ,     Oct, ,     Nov, ,     Dec, ,  Annual, ,  Winter, ,  Spring, ,  Summer, ,  Autumn
Year,    Janv, ,     Fév, ,    Mars, ,     Avr, ,     Mai, ,    Juin, ,    Juil, ,    Août, ,    Sept, ,     Oct, ,     Nov, ,     Déc, ,  Annuel, ,   Hiver, ,Printemp, ,     Eté, , Automne
1913, -9999.9,M, -9999.9,M, -9999.9,M,     5.5, ,     7.8, ,    13.8, ,    18.6, ,    17.5, ,    12.5, ,    13.7, ,     3.6, ,    -3.0, , -9999.9,M, -9999.9,M, -9999.9,M,    16.6, ,     9.9, 
1914,    -6.9, ,    -9.9, ,     -.7, ,     2.7, ,    10.4, ,    13.5, ,    17.2, ,    17.3, ,    14.3, ,     9.2, ,     2.4, ,    -5.0, ,     5.4, ,    -6.6, ,     4.1, ,    16.0, ,     8.6, 
1915,    -5.0, ,    -3.5, ,    -2.9, ,     4.1, ,     7.9, ,    13.8, ,    17.8, ,    17.7, ,    14.1, ,     9.5, ,     4.0, ,    -1.6, ,     6.3, ,    -4.5, ,     3.0, ,    16.4, ,     9.2, 
1916,    -5.4, ,    -7.4, ,    -5.5, ,     4.4, ,     9.8, ,    15.2, ,    18.9, ,    18.3, ,    15.0, ,     9.5, ,     2.2, ,    -2.3, ,     6.1, ,    -4.8, ,     2.9, ,    17.5, ,     8.9, 
1917,    -7.3, ,    -7.6, ,    -1.9, ,     3.6, ,     6.5, ,    15.7, ,    18.8, ,    19.8, ,    12.2, ,     9.3, ,      .6, ,    -6.9, ,     5.2, ,    -5.7, ,     2.7, ,    18.1, ,     7.4, 
1918,    -7.7, ,    -7.6, ,    -4.2, ,     3.8, ,    12.2, ,    14.2, ,    18.6, ,    16.6, ,    14.8, ,     9.3, ,     2.1, ,    -2.6, ,     5.8, ,    -7.4, ,     3.9, ,    16.5, ,     8.7, 
1919,    -4.3, ,    -3.7, ,      .8, ,     4.7, ,     9.9, ,    15.3, ,    18.4, ,    17.4, ,    14.5, ,     7.4, ,     3.0, ,    -6.2, ,     6.4, ,    -3.5, ,     5.1, ,    17.0, ,     8.3, 
1920,   -12.2, ,    -5.7, ,     -.5, ,     3.4, ,     9.3, ,    14.5, ,    19.0, ,    20.0, ,    14.8, ,    10.5, ,     1.1, ,    -2.7, ,     6.0, ,    -8.0, ,     4.1, ,    17.8, ,     8.8, 
1921,    -5.9, ,    -7.7, ,     2.2, ,     6.4, ,    10.7, ,    14.9, ,    20.7, ,    16.8, ,    15.2, ,     9.5, ,     1.0, ,    -4.4, ,     6.6, ,    -5.4, ,     6.4, ,    17.5, ,     8.6, 
1922,    -7.7, ,    -6.8, ,     -.5, ,     4.4, ,    10.6, ,    17.7, ,    18.4, ,    19.2, ,    13.5, ,     8.5, ,     1.2, ,    -5.8, ,     6.1, ,    -6.3, ,     4.8, ,    18.4, ,     7.7, 
1923,    -8.6, ,   -11.8, ,    -6.3, ,     2.6, ,     9.7, ,    14.3, ,    17.3, ,    15.9, ,    13.7, ,     9.1, ,     4.6, ,     -.4, ,     5.0, ,    -8.7, ,     2.0, ,    15.8, ,     9.1, 
1924,    -5.4, ,    -8.1, ,     -.8, ,     2.9, ,    10.6, ,    14.9, ,    19.7, ,    18.3, ,    13.3, ,     8.6, ,     3.7, ,    -5.1, ,     6.1, ,    -4.6, ,     4.2, ,    17.6, ,     8.5, 
1925,   -10.4, ,    -2.5, ,     1.2, ,     3.9, ,     9.7, ,    16.2, ,    18.7, ,    18.2, ,    12.6, ,     5.2, ,     2.2, ,    -4.7, ,     5.9, ,    -6.0, ,     4.9, ,    17.7, ,     6.7, 
1926,    -6.1, ,    -8.2, ,    -4.4, ,     1.6, ,     8.5, ,    15.0, ,    17.9, ,    17.5, ,    12.5, ,     8.9, ,     3.7, ,    -4.7, ,     5.2, ,    -6.3, ,     1.9, ,    16.8, ,     8.4, 
1927,    -2.8, ,    -8.0, ,    -1.5, ,     3.9, ,     9.5, ,    14.3, ,    20.3, ,    17.5, ,    14.5, ,    10.6, ,     5.6, ,    -1.2, ,     6.9, ,    -5.2, ,     4.0, ,    17.4, ,    10.2, 
1928,    -5.5, ,    -7.1, ,    -2.1, ,     5.2, ,    10.9, ,    14.8, ,    20.0, ,    19.2, ,    13.0, ,     8.4, ,     1.7, ,     -.3, ,     6.5, ,    -4.6, ,     4.7, ,    18.0, ,     7.7, 
1929,    -6.1, ,    -6.1, ,     -.8, ,     3.7, ,    11.0, ,    15.7, ,    18.9, ,    17.6, ,    15.4, ,     8.5, ,     2.2, ,    -5.4, ,     6.2, ,    -4.2, ,     4.6, ,    17.4, ,     8.7, 
1930,    -5.5, ,    -5.8, ,     -.5, ,     3.8, ,     9.8, ,    20.9, ,    19.6, ,    18.0, ,    15.2, ,     9.5, ,     3.0, ,    -3.2, ,     7.1, ,    -5.6, ,     4.4, ,    19.5, ,     9.2, 
1931,    -5.8, ,    -4.5, ,      .5, ,     6.4, ,    11.8, ,    15.0, ,    21.0, ,    18.9, ,    14.1, ,    10.0, ,     6.1, ,    -2.6, ,     7.6, ,    -4.5, ,     6.2, ,    18.3, ,    10.1, 
1932,    -2.7, ,    -7.7, ,    -1.8, ,     4.5, ,    10.9, ,    15.3, ,    18.5, ,    19.2, ,    15.3, ,    10.6, ,     2.9, ,     -.9, ,     7.0, ,    -4.3, ,     4.5, ,    17.7, ,     9.6, 
1933,    -2.2, ,    -2.8, ,    -2.5, ,     4.5, ,    10.8, ,    16.2, ,    18.0, ,    18.8, ,    14.9, ,     9.4, ,    -1.2, ,    -7.9, ,     6.3, ,    -2.0, ,     4.3, ,    17.7, ,     7.7, 
1934,    -8.5, ,   -10.3, ,    -1.8, ,     6.7, ,    11.4, ,    14.6, ,    19.4, ,    17.6, ,    17.4, ,     8.4, ,     4.4, ,    -6.1, ,     6.1, ,    -8.9, ,     5.4, ,    17.2, ,    10.1, 
1935,    -7.9, ,    -8.0, ,    -3.1, ,     3.9, ,     9.9, ,    16.7, ,    20.5, ,    19.7, ,    13.3, ,     8.4, ,     5.7, ,    -3.6, ,     6.3, ,    -7.3, ,     3.6, ,    19.0, ,     9.1, 
1936,    -5.4, ,    -8.1, ,     3.8, ,     4.7, ,    11.0, ,    17.2, ,    17.8, ,    18.0, ,    13.8, ,     8.5, ,     1.9, ,    -2.4, ,     6.7, ,    -5.7, ,     6.5, ,    17.7, ,     8.1, 
1937,    -3.1, ,    -3.6, ,    -2.0, ,     4.4, ,    12.2, ,    16.9, ,    20.4, ,    21.1, ,    15.0, ,     8.6, ,     3.3, ,    -2.9, ,     7.5, ,    -3.0, ,     4.9, ,    19.5, ,     9.0, 
1938,    -6.0, ,    -8.0, ,    -3.6, ,     5.8, ,     9.6, ,    17.7, ,    19.6, ,    19.7, ,    14.4, ,     9.7, ,     4.3, ,    -1.9, ,     6.8, ,    -5.6, ,     3.9, ,    19.0, ,     9.5, 
1939,    -6.1, ,    -5.8, ,    -4.1, ,     2.8, ,     9.0, ,    14.6, ,    19.3, ,    20.5, ,    14.8, ,     9.5, ,     1.3, ,    -2.7, ,     6.1, ,    -4.6, ,     2.6, ,    18.1, ,     8.5, 
1940,    -8.6, ,    -6.3, ,    -1.9, ,     3.2, ,    10.8, ,    14.5, ,    19.1, ,    17.4, ,    15.0, ,     6.8, ,     3.3, ,    -3.4, ,     5.8, ,    -5.9, ,     4.0, ,    17.0, ,     8.4, 
1941,    -7.8, ,    -5.0, ,    -3.5, ,     4.9, ,     9.5, ,    14.8, ,    19.5, ,    16.5, ,    13.5, ,     8.2, ,     3.5, ,    -2.9, ,     5.9, ,    -5.4, ,     3.6, ,    16.9, ,     8.4, 
1942,    -6.7, ,    -6.4, ,     1.0, ,     5.1, ,    12.4, ,    15.6, ,    19.4, ,    18.7, ,    16.2, ,     9.3, ,     1.7, ,    -6.2, ,     6.7, ,    -5.3, ,     6.2, ,    17.9, ,     9.1, 
