8203100,LIVERPOOL      ,NS, station not joined, Monthly mean of homogenized daily mean temperature                     , °C,          Updated to December 2012
8203100,LIVERPOOL      ,NS, station non-jointe, Moyenne mensuelle des températures homogénéisées moyennes quotidiennes , °C, Mise à jour jusqu à décembre 2012
Year,     Jan, ,     Feb, ,     Mar, ,     Apr, ,     May, ,     Jun, ,     Jul, ,     Aug, ,     Sep, ,     Oct, ,     Nov, ,     Dec, ,  Annual, ,  Winter, ,  Spring, ,  Summer, ,  Autumn
Year,    Janv, ,     Fév, ,    Mars, ,     Avr, ,     Mai, ,    Juin, ,    Juil, ,    Août, ,    Sept, ,     Oct, ,     Nov, ,     Déc, ,  Annuel, ,   Hiver, ,Printemp, ,     Eté, , Automne
1940,    -1.4,a, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    15.3,a,    20.2,a,    18.6,a,    14.3,a,     6.4,a,     3.4,a,     -.3,a, -9999.9,M, -9999.9,M, -9999.9,M,    18.0,a,     8.0,a
1941,    -4.7,a,    -1.4,a,     -.8,a,     6.2,a,    10.2,a,    15.9,a,    19.4,a,    15.0,a,    13.5,a,     8.4,a,     3.9,a,     -.9,a,     7.1,a,    -2.1,a,     5.2,a,    16.8,a,     8.6,a
1942,    -4.8,a,    -5.3,a,     1.8,a,     5.4,a,    12.4,a,    14.9,a,    18.2,a,    18.4,a,    16.0,a,     9.7,a,     3.0,a,    -5.0,a,     7.1,a,    -3.7,a,     6.5,a,    17.2,a,     9.6,a
1943,    -8.6,a,    -3.7,a,     -.3,a,     3.0,a,    10.4,a,    14.1,a,    19.3,a,    17.5,a,    14.7,a, -9999.9,M,     5.0,a,    -3.6,a, -9999.9,M,    -5.8,a,     4.4,a,    17.0,a, -9999.9,M
1944,    -2.9,a,    -4.5,a,    -1.0,a,     4.1,a,    12.4,a,    15.5,a,    20.1,a,    20.8,a,    15.3,a,    10.1,a,     5.6,a,    -2.8,a,     7.7,a,    -3.7,a,     5.2,a,    18.8,a,    10.3,a
1945,    -4.2,a,    -5.1,a,     1.6,a,     6.9,a,     9.1,a,    14.3,a,    19.1,a,    18.5,a,    16.2,a,     9.2,a,     4.8,a,    -2.9,a,     7.3,a,    -4.0,a,     5.9,a,    17.3,a,    10.1,a
1946,    -3.2,a,    -4.7,a,     3.0,a,     4.2,a,    10.5,a,    15.3,a, -9999.9,M,    17.8,a,    15.5,a,    11.1,a,     5.3,a,    -1.3,a, -9999.9,M,    -3.6,a,     5.9,a, -9999.9,M,    10.6,a
1947,    -3.7,a,    -2.3,a,      .4,a,     4.7,a,    12.2,a,    14.4,a,    21.5,a,    19.4,a,    15.1,a,    10.7,a,     3.8,a,    -3.1,a,     7.8,a,    -2.4,a,     5.8,a,    18.4,a,     9.9,a
1948,    -5.8,a,    -8.0,a,    -2.7,a,     4.2,a,     9.8,a,    14.0,a,    18.9,a,    17.9,a,    13.5,a,     8.9,a, -9999.9,M, -9999.9,M, -9999.9,M,    -5.6,a,     3.8,a,    16.9,a, -9999.9,M
1949,    -2.8,a,    -3.2,a,      .8,a,     6.0,a,    10.9,a,    16.6,a,    20.8,a,    19.4,a,    15.3,a,    10.0,a,     3.8,a,     -.3,a,     8.1,a, -9999.9,M,     5.9,a,    18.9,a,     9.7,a
1950,    -3.3,a,    -7.7,a,    -3.1,a,     3.8,a,     9.6,a,    14.6,a,    17.2,a,    16.9,a,    10.6,a,     7.7,a,     6.8,a,     1.3,a,     6.2,a,    -3.8,a,     3.4,a,    16.2,a,     8.4,a
1951,    -1.2,a,    -2.3,a,     1.1,a,     7.9,a,    11.3,a,    15.0,a, -9999.9,M,    19.5,a,    15.1,a,     9.8,a,     4.3,a, -9999.9,M, -9999.9,M,     -.7,a,     6.8,a, -9999.9,M,     9.7,a
1952, -9999.9,M,    -2.2,a,      .1,a,     6.3,a,    10.4,a,    16.5,a,    21.2,a,    18.4,a,    14.0,a,     8.7,a,     4.5,a,     -.6,a, -9999.9,M, -9999.9,M,     5.6,a,    18.7,a,     9.1,a
