8203702,NAPPAN         ,NS, station joined    , Monthly mean of homogenized daily mean temperature                     , °C,          Updated to December 2012
8203702,NAPPAN         ,NS, station jointe    , Moyenne mensuelle des températures homogénéisées moyennes quotidiennes , °C, Mise à jour jusqu à décembre 2012
Year,     Jan, ,     Feb, ,     Mar, ,     Apr, ,     May, ,     Jun, ,     Jul, ,     Aug, ,     Sep, ,     Oct, ,     Nov, ,     Dec, ,  Annual, ,  Winter, ,  Spring, ,  Summer, ,  Autumn
Year,    Janv, ,     Fév, ,    Mars, ,     Avr, ,     Mai, ,    Juin, ,    Juil, ,    Août, ,    Sept, ,     Oct, ,     Nov, ,     Déc, ,  Annuel, ,   Hiver, ,Printemp, ,     Eté, , Automne
1913, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    13.1, ,     3.4, ,    -3.3, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M
1914,    -9.0, ,   -11.9, ,    -1.0, ,     1.1, ,     9.5, ,    12.4, ,    16.4, ,    17.1, ,    13.5, ,     8.3, ,      .9, ,    -6.6, ,     4.2, ,    -8.1, ,     3.2, ,    15.3, ,     7.6, 
1915,    -5.8, ,    -4.7, ,    -3.2, ,     3.2, ,     7.7, ,    13.6, ,    17.3, ,    17.3, ,    13.6, ,     9.0, ,     3.6, ,    -1.9, ,     5.8, ,    -5.7, ,     2.6, ,    16.1, ,     8.7, 
1916,    -7.2, ,    -8.6, ,    -6.4, ,     3.5, ,     8.9, ,    14.6, ,    17.3, ,    17.7, ,    14.3, ,     8.1, ,      .1, ,    -3.0, ,     4.9, ,    -5.9, ,     2.0, ,    16.5, ,     7.5, 
1917,    -9.0, ,    -9.4, ,    -2.6, ,     3.2, ,     5.3, ,    15.1, ,    18.2, ,    19.7, ,    12.1, ,     8.9, ,     -.2, ,    -9.1, ,     4.4, ,    -7.1, ,     2.0, ,    17.7, ,     6.9, 
1918,    -9.9, ,   -10.5, ,    -6.3, ,     2.8, ,    10.8, ,    13.3, ,    17.8, ,    15.7, ,    14.1, ,     8.3, ,     1.5, ,    -4.9, ,     4.4, ,    -9.8, ,     2.4, ,    15.6, ,     8.0, 
1919,    -6.1, ,    -4.6, ,    -1.2, ,     3.7, ,     9.1, ,    14.8, ,    17.3, ,    17.2, ,    13.8, ,     6.2, ,     2.2, ,    -7.9, ,     5.4, ,    -5.2, ,     3.9, ,    16.4, ,     7.4, 
1920,   -13.9, ,    -6.7, ,    -1.2, ,     2.6, ,     8.9, ,    13.7, ,    18.1, ,    18.9, ,    14.2, ,    10.1, ,     -.1, ,    -4.0, ,     5.1, ,    -9.5, ,     3.4, ,    16.9, ,     8.1, 
1921,    -7.4, ,    -9.1, ,      .6, ,     5.1, ,     9.7, ,    14.0, ,    19.4, ,    16.0, ,    14.6, ,     8.4, ,     -.5, ,    -5.7, ,     5.4, ,    -6.8, ,     5.1, ,    16.5, ,     7.5, 
1922,    -9.5, ,    -9.0, ,    -1.4, ,     3.5, ,     9.5, ,    16.8, ,    17.1, ,    18.0, ,    13.1, ,     7.9, ,      .0, ,    -7.8, ,     4.9, ,    -8.1, ,     3.9, ,    17.3, ,     7.0, 
1923,   -10.6, ,   -13.7, ,    -7.5, ,     1.8, ,     8.7, ,    13.3, ,    16.5, ,    15.8, ,    13.1, ,     9.3, ,     4.1, ,    -1.3, ,     4.1, ,   -10.7, ,     1.0, ,    15.2, ,     8.8, 
1924,    -7.7, ,    -9.8, ,    -1.4, ,     2.3, ,    10.3, ,    14.2, ,    18.6, ,    17.4, ,    13.0, ,     7.6, ,     3.3, ,    -7.3, ,     5.0, ,    -6.3, ,     3.7, ,    16.7, ,     8.0, 
