8204700,SABLE ISLAND   ,NS, station not joined, Monthly mean of homogenized daily mean temperature                     , °C,          Updated to December 2012
8204700,SABLE ISLAND   ,NS, station non-jointe, Moyenne mensuelle des températures homogénéisées moyennes quotidiennes , °C, Mise à jour jusqu à décembre 2012
Year,     Jan, ,     Feb, ,     Mar, ,     Apr, ,     May, ,     Jun, ,     Jul, ,     Aug, ,     Sep, ,     Oct, ,     Nov, ,     Dec, ,  Annual, ,  Winter, ,  Spring, ,  Summer, ,  Autumn
Year,    Janv, ,     Fév, ,    Mars, ,     Avr, ,     Mai, ,    Juin, ,    Juil, ,    Août, ,    Sept, ,     Oct, ,     Nov, ,     Déc, ,  Annuel, ,   Hiver, ,Printemp, ,     Eté, , Automne
1897, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,     9.1, ,     4.6, ,     1.4, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M
1898,    -2.2, ,     -.1, ,     1.6, ,     3.6, ,     6.5, ,    10.6, ,    15.7, ,    18.9, ,    16.0, ,    11.1, ,     8.1, ,     2.4, ,     7.7, ,     -.3, ,     3.9, ,    15.1, ,    11.7, 
1899,    -1.1, ,    -3.2, ,     -.4, ,     3.1, ,     6.3, ,    11.3, ,    16.5, ,    17.9, ,    15.3, ,    11.3, ,     6.2, ,     3.7, ,     7.2, ,     -.6, ,     3.0, ,    15.2, ,    10.9, 
1900,     1.6, ,     -.3, ,     1.0, ,     4.1, ,     7.2, ,    11.5, ,    16.1, ,    17.1, ,    15.2, ,    11.8, ,     7.9, ,     1.8, ,     7.9, ,     1.7, ,     4.1, ,    14.9, ,    11.6, 
1901,     -.6, ,    -1.2, ,      .3, ,     4.4, ,     8.0, ,    12.3, ,    16.3, ,    19.4, ,    17.0, ,    11.6, ,     6.4, ,     3.8, ,     8.1, ,      .0, ,     4.2, ,    16.0, ,    11.7, 
1902,     -.2, ,      .2, ,     2.7, ,     5.3, ,     7.6, ,    10.5, ,    14.0, ,    16.9, ,    16.6, ,    11.8, ,     7.3, ,     1.6, ,     7.9, ,     1.3, ,     5.2, ,    13.8, ,    11.9, 
1903,     -.3, ,    -1.8, ,     1.6, ,     3.2, ,     6.7, ,     8.7, ,    13.1, ,    15.3, ,    15.1, ,    10.7, ,     7.6, ,     2.6, ,     6.9, ,     -.2, ,     3.8, ,    12.4, ,    11.1, 
1904,    -2.5, ,    -4.0, ,    -1.5, ,     2.3, ,     7.0, ,    10.4, ,    17.8, ,    18.3, ,    15.4, ,    11.1, ,     6.2, ,    -1.1, ,     6.6, ,    -1.3, ,     2.6, ,    15.5, ,    10.9, 
1905,    -2.0, ,    -2.6, ,    -1.0, ,     3.0, ,     6.0, ,    10.0, ,    15.3, ,    15.5, ,    13.6, ,     9.9, ,     6.2, ,     2.4, ,     6.4, ,    -1.9, ,     2.7, ,    13.6, ,     9.9, 
1906,      .5, ,      .2, ,     -.7, ,     2.5, ,     7.4, ,    10.3, ,    15.4, ,    17.7, ,    14.9, ,    11.9, ,     7.2, ,     1.5, ,     7.4, ,     1.0, ,     3.1, ,    14.5, ,    11.3, 
1907,    -1.5, ,    -2.3, ,    -1.3, ,     2.4, ,     5.6, ,     9.0, ,    14.7, ,    16.2, ,    15.1, ,     9.7, ,     7.1, ,     4.1, ,     6.6, ,     -.8, ,     2.2, ,    13.3, ,    10.6, 
1908,      .9, ,     -.6, ,      .6, ,     2.6, ,     6.9, ,    11.6, ,    16.9, ,    16.7, ,    15.6, ,    12.2, ,     5.9, ,     1.3, ,     7.6, ,     1.5, ,     3.4, ,    15.1, ,    11.2, 
