8206500,YARMOUTH       ,NS, station joined    , Monthly mean of homogenized daily mean temperature                     , °C,          Updated to December 2012
8206500,YARMOUTH       ,NS, station jointe    , Moyenne mensuelle des températures homogénéisées moyennes quotidiennes , °C, Mise à jour jusqu à décembre 2012
Year,     Jan, ,     Feb, ,     Mar, ,     Apr, ,     May, ,     Jun, ,     Jul, ,     Aug, ,     Sep, ,     Oct, ,     Nov, ,     Dec, ,  Annual, ,  Winter, ,  Spring, ,  Summer, ,  Autumn
Year,    Janv, ,     Fév, ,    Mars, ,     Avr, ,     Mai, ,    Juin, ,    Juil, ,    Août, ,    Sept, ,     Oct, ,     Nov, ,     Déc, ,  Annuel, ,   Hiver, ,Printemp, ,     Eté, , Automne
1879, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    15.5, ,    13.0, ,    10.1, ,     3.2, ,     -.9, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,     8.8, 
1880,     -.6, ,    -1.8, ,    -2.7, ,     3.7, ,     9.7, ,    13.9, ,    16.2, ,    16.1, ,    14.7, ,     9.6, ,     3.3, ,    -1.8, ,     6.7, ,    -1.1, ,     3.6, ,    15.4, ,     9.2, 
1881,    -4.4, ,    -2.8, ,     1.7, ,     3.1, ,     9.0, , -9999.9,M,    14.9, ,    16.7, ,    15.0, ,     8.3, ,     4.2, , -9999.9,M, -9999.9,M,    -3.0, ,     4.6, , -9999.9,M,     9.2, 
1882, -9999.9,M,    -4.1, ,     -.8, ,     1.6, ,     6.7, ,    11.9, ,    15.1, ,    15.3, , -9999.9,M,    10.5, ,     3.3, ,    -1.4, , -9999.9,M, -9999.9,M,     2.5, ,    14.1, , -9999.9,M
1883,    -5.5, ,    -4.7, ,    -2.5, ,     3.0, ,     8.6, ,    13.3, ,    15.3, ,    15.3, ,    12.6, ,     7.8, ,     4.6, ,    -2.3, ,     5.5, ,    -3.9, ,     3.0, ,    14.6, ,     8.3, 
1884,    -4.3, ,    -1.2, ,     -.6, ,     5.5, ,     8.1, ,    12.7, ,    14.3, ,    16.2, ,    13.1, ,     7.1, ,     4.2, ,     -.3, ,     6.2, ,    -2.6, ,     4.3, ,    14.4, ,     8.1, 
1885,    -1.6, , -9999.9,M,    -3.8, ,     4.4, ,     8.8, ,    12.6, ,    16.2, ,    15.8, ,    12.4, ,     9.8, ,     6.0, ,      .3, , -9999.9,M, -9999.9,M,     3.1, ,    14.9, ,     9.4, 
1886,    -1.7, ,    -2.3, ,    -1.0, , -9999.9,M,     9.0, ,    12.8, ,    16.0, , -9999.9,M,    12.7, ,     8.4, ,     6.2, ,     -.7, , -9999.9,M,    -1.2, , -9999.9,M, -9999.9,M,     9.1, 
1887,    -3.0, ,    -4.0, ,    -1.4, ,     3.2, ,     9.4, ,    12.9, ,    17.1, ,    16.0, ,    12.8, ,     8.8, ,     4.4, ,    -1.3, ,     6.2, ,    -2.6, ,     3.7, ,    15.3, ,     8.7, 
1888,    -6.4, ,    -3.7, ,     -.6, ,     3.0, ,     7.8, ,    12.8, ,    14.8, ,    15.1, ,    12.6, ,     7.9, ,     4.4, ,      .7, ,     5.7, ,    -3.8, ,     3.4, ,    14.2, ,     8.3, 
1889,     -.2, ,    -3.7, ,     2.2, ,     6.5, ,    10.9, ,    14.8, ,    16.5, ,    15.9, ,    15.5, ,     9.1, ,     6.3, ,     1.2, ,     7.9, ,    -1.1, ,     6.5, ,    15.7, ,    10.3, 
1890,    -2.4, ,    -2.4, ,     1.2, ,     4.5, ,     9.8, ,    12.5, ,    16.6, ,    17.0, ,    14.4, ,     8.7, ,     4.8, ,    -3.3, ,     6.8, ,    -1.2, ,     5.2, ,    15.4, ,     9.3, 
