8300447,MONTICELLO     ,PE, station not joined, Monthly mean of homogenized daily mean temperature                     , °C,          Updated to December 2012
8300447,MONTICELLO     ,PE, station non-jointe, Moyenne mensuelle des températures homogénéisées moyennes quotidiennes , °C, Mise à jour jusqu à décembre 2012
Year,     Jan, ,     Feb, ,     Mar, ,     Apr, ,     May, ,     Jun, ,     Jul, ,     Aug, ,     Sep, ,     Oct, ,     Nov, ,     Dec, ,  Annual, ,  Winter, ,  Spring, ,  Summer, ,  Autumn
Year,    Janv, ,     Fév, ,    Mars, ,     Avr, ,     Mai, ,    Juin, ,    Juil, ,    Août, ,    Sept, ,     Oct, ,     Nov, ,     Déc, ,  Annuel, ,   Hiver, ,Printemp, ,     Eté, , Automne
1960, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    -3.2, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M
1961,    -9.5, ,   -10.8, ,    -6.4, ,      .0, ,     7.8, ,    14.8, ,    17.2, ,    18.7, ,    16.6, ,    10.1, ,     5.4, ,     -.9, ,     5.3, ,    -7.8, ,      .5, ,    16.9, ,    10.7, 
1962,    -6.7, ,   -11.7, ,    -2.9, ,     2.5, ,     6.2, ,    13.1, ,    14.5, ,    17.0, ,    12.7, ,     8.2, ,     3.9, ,    -3.0, ,     4.5, ,    -6.4, ,     1.9, ,    14.9, ,     8.3, 
1963,    -3.8, ,    -8.6, ,    -5.6, ,      .3, ,     8.9, ,    12.8, ,    18.7, ,    16.1, ,    12.3, ,     9.8, ,     5.1, ,    -7.6, ,     4.9, ,    -5.1, ,     1.2, ,    15.9, ,     9.1, 
1964,    -6.8, ,    -6.9, ,    -3.4, ,      .8, ,     7.8, ,    11.9, ,    17.2, ,    15.9, ,    12.6, ,     8.0, ,     1.9, ,    -2.5, ,     4.7, ,    -7.1, ,     1.7, ,    15.0, ,     7.5, 
1965,    -7.1, ,    -8.2, ,    -4.6, ,      .0, ,     6.3, ,    13.4, ,    17.8, ,    17.6, ,    12.3, ,     7.5, ,     1.2, ,    -3.9, ,     4.4, ,    -5.9, ,      .6, ,    16.3, ,     7.0, 
1966,    -4.0, ,    -6.4, ,    -1.0, ,     1.2, ,     7.6, ,    14.0, ,    17.8, ,    17.7, ,    12.5, ,     8.8, ,     5.3, ,     -.5, ,     6.1, ,    -4.8, ,     2.6, ,    16.5, ,     8.9, 
1967,    -4.6, ,    -9.4, ,    -7.3, ,    -1.9, ,     4.4, ,    14.5, ,    20.9, ,    20.0, ,    14.3, ,     9.7, ,     4.0, ,    -1.9, ,     5.2, ,    -4.8, ,    -1.6, ,    18.5, ,     9.3, 
1968,    -8.5, ,    -9.4, ,    -2.4, ,     4.1, ,     6.7, ,    12.0, ,    18.5, ,    15.6, ,    14.6, ,    10.1, ,     2.2, ,    -1.7, ,     5.2, ,    -6.6, ,     2.8, ,    15.4, ,     9.0, 
1969,    -4.0, ,    -3.5, ,    -2.3, ,     1.8, ,     7.0, ,    15.0, ,    16.4, ,    18.4, ,    14.1, ,     7.2, ,     4.9, ,     1.0, ,     6.3, ,    -3.1, ,     2.2, ,    16.6, ,     8.7, 
1970,   -10.5, ,    -5.7, ,    -3.1, ,      .8, ,     8.9, ,    14.7, ,    19.4, ,    18.7, ,    12.3, ,     9.3, ,     4.0, ,    -4.7, ,     5.3, ,    -5.1, ,     2.2, ,    17.6, ,     8.5, 
1971,    -8.4, ,    -6.2, ,    -1.4, ,     2.7, ,     9.3, ,    13.2, ,    18.5, ,    18.0, ,    14.0, ,     9.6, ,     2.8, ,    -4.5, ,     5.6, ,    -6.4, ,     3.5, ,    16.6, ,     8.8, 
1972,    -7.1, ,   -10.1, ,    -5.7, ,     -.8, ,     7.6, ,    15.1, ,    17.6, ,    16.5, ,    13.6, ,     6.9, ,     1.4, ,    -5.5, ,     4.1, ,    -7.2, ,      .4, ,    16.4, ,     7.3, 
1973,    -7.2, ,    -7.5, ,    -2.2, ,     2.2, ,     7.4, ,    16.1, ,    20.4, ,    17.4, ,    12.2, ,     7.4, ,     1.7, ,      .2, ,     5.7, ,    -6.7, ,     2.5, ,    18.0, ,     7.1, 
1974,    -8.6, ,    -9.0, ,    -3.5, ,     2.4, ,     4.2, ,    13.8, ,    16.5, ,    18.4, ,    13.5, ,     6.0, ,     3.1, ,    -1.5, ,     4.6, ,    -5.8, ,     1.0, ,    16.2, ,     7.5, 
1975,    -6.5, ,   -10.3, ,    -3.8, ,      .1, ,     7.5, ,    13.7, ,    20.8, ,    17.9, ,    14.4, ,     8.1, ,     4.7, ,    -3.7, ,     5.2, ,    -6.1, ,     1.3, ,    17.5, ,     9.1, 
1976,    -6.5, ,    -6.0, ,    -2.9, ,     2.4, ,     9.6, ,    16.2, ,    17.5, ,    18.5, ,    13.9, ,     7.7, ,      .4, ,    -6.0, ,     5.4, ,    -5.4, ,     3.0, ,    17.4, ,     7.3, 
1977,    -8.6, ,    -7.2, ,    -1.1, ,     1.4, ,     7.4, ,    13.4, ,    17.7, ,    18.6, ,    12.8, ,     8.5, ,     4.4, ,    -2.2, ,     5.4, ,    -7.3, ,     2.6, ,    16.6, ,     8.6, 
1978,    -5.5, ,    -8.6, ,    -4.7, ,      .7, ,     8.2, ,    14.6, ,    18.0, ,    19.1, ,    11.7, ,     8.3, ,      .4, ,    -4.0, ,     4.9, ,    -5.4, ,     1.4, ,    17.2, ,     6.8, 
1979,    -4.2, ,    -9.1, ,      .0, ,     3.5, ,    10.2, ,    15.4, ,    18.7, ,    17.5, ,    13.7, ,     8.8, ,     5.2, ,    -2.2, ,     6.5, ,    -5.8, ,     4.6, ,    17.2, ,     9.2, 
1980,    -6.3, ,    -8.4, ,    -4.0,E,     3.5, ,     6.5, ,    13.6, ,    16.8, ,    17.5, ,    12.7, ,     7.2, ,     2.6, ,    -6.3, ,     4.6,E,    -5.6, ,     2.0,E,    16.0, ,     7.5, 
1981,    -9.8, ,    -1.9,E,     -.3, ,     3.9, ,    10.2, ,    14.1, ,    17.7, ,    17.4,E,    13.1,E,     8.3,E,     3.9, ,      .7, ,     6.4,E,    -6.0,E,     4.6, ,    16.4,E,     8.4,E
1982,    -8.9, ,    -7.8,E,    -3.5, ,     3.3, ,     7.3, ,    11.5, ,    18.6, ,    15.8, ,    13.9, ,     7.6, , -9999.9,M, -9999.9,M, -9999.9,M,    -5.3,E,     2.4, ,    15.3, , -9999.9,M
1983, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,     4.0, ,    -2.4, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M
1984,    -6.7, ,    -3.2, ,    -3.6, ,     1.7, ,     9.1, ,    13.6, ,    20.2, ,    20.4, ,    13.5, ,     7.7, ,     3.9, ,    -1.8, ,     6.2, ,    -4.1, ,     2.4, ,    18.1, ,     8.4, 
1985,    -9.9, ,    -6.6, ,    -4.1, ,      .9, ,     7.5, ,    12.8, ,    19.5, ,    17.3, ,    14.2, ,     7.9, ,     2.1, ,    -5.9, ,     4.6, ,    -6.1, ,     1.4, ,    16.5, ,     8.1, 
1986,    -5.4, ,    -8.2, ,    -3.7, ,     3.5, ,     8.2, ,    12.3, ,    15.7, ,    16.8,E,    11.2, ,     7.1, ,     1.3, ,    -3.6, ,     4.6,E,    -6.5, ,     2.7, ,    14.9,E,     6.5, 
1987,    -6.9, ,    -8.8, ,    -4.2, ,     3.7, ,     8.5, ,    12.9, ,    18.8, ,    17.1, ,    14.1, ,     8.7, ,     1.7, ,    -2.7, ,     5.2, ,    -6.4, ,     2.7, ,    16.3, ,     8.2, 
1988,    -6.8, ,    -7.2, ,    -3.1, ,     1.9, ,    10.0, ,    12.8, ,    18.7, ,    18.5, ,    12.7, ,     7.9, ,     4.0, ,    -4.7, ,     5.4, ,    -5.6, ,     2.9, ,    16.7, ,     8.2, 
1989,    -6.2, ,    -8.3, ,    -4.7, ,     3.1, ,    11.7, ,    13.7, ,    17.6, ,    19.3, ,    14.6, ,     8.0, ,     2.5, ,    -9.1, ,     5.2, ,    -6.4, ,     3.4, ,    16.9, ,     8.4, 
1990,    -4.8, ,    -8.8, ,    -3.3, ,     3.1, ,     6.9, ,    16.4, ,    18.5, ,    20.4, ,    14.1, ,    10.7, ,     3.4, ,     -.8, ,     6.3, ,    -7.6, ,     2.2, ,    18.4, ,     9.4, 
1991,    -9.3, ,    -6.5, ,     -.7, ,     1.7, ,     8.4, ,    13.9, ,    18.5, ,    18.2, ,    13.6, ,    10.2, ,     5.2, ,    -3.4, ,     5.8, ,    -5.5, ,     3.1, ,    16.9, ,     9.7, 
1992,    -7.5, ,    -8.4, ,    -5.7, ,     1.2, ,     8.6, ,    13.9, ,    15.9, ,    18.6, ,    15.7, ,     8.5, ,     2.0, ,    -2.4, ,     5.0, ,    -6.4, ,     1.4, ,    16.1, ,     8.7, 
