8401400,DANIELS HARBOUR,NL, station not joined, Monthly mean of homogenized daily mean temperature                     , °C,          Updated to December 2012
8401400,DANIELS HARBOUR,NL, station non-jointe, Moyenne mensuelle des températures homogénéisées moyennes quotidiennes , °C, Mise à jour jusqu à décembre 2012
Year,     Jan, ,     Feb, ,     Mar, ,     Apr, ,     May, ,     Jun, ,     Jul, ,     Aug, ,     Sep, ,     Oct, ,     Nov, ,     Dec, ,  Annual, ,  Winter, ,  Spring, ,  Summer, ,  Autumn
Year,    Janv, ,     Fév, ,    Mars, ,     Avr, ,     Mai, ,    Juin, ,    Juil, ,    Août, ,    Sept, ,     Oct, ,     Nov, ,     Déc, ,  Annuel, ,   Hiver, ,Printemp, ,     Eté, , Automne
1946, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,     -.2, ,    -5.2, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M
1947,   -10.8, ,    -4.3, ,    -2.8, ,    -2.4, ,     4.7, ,     9.2, ,    15.8, , -9999.9,M,    10.9, ,     6.3, , -9999.9,M,    -3.6, , -9999.9,M,    -6.8, ,     -.2, , -9999.9,M, -9999.9,M
1948,    -6.7, ,   -13.0, ,   -11.2, ,    -1.6, ,     5.8, ,     9.2, ,    13.4, ,    14.9, , -9999.9,M,     5.7, ,     2.5, , -9999.9,M, -9999.9,M,    -7.8, ,    -2.3, ,    12.5, , -9999.9,M
1949,    -6.5, ,   -11.3, ,    -2.3, ,      .7, ,     4.5, ,     9.4, ,    14.2, , -9999.9,M, -9999.9,M,     5.7, ,      .8, ,    -3.3, , -9999.9,M, -9999.9,M,     1.0, , -9999.9,M, -9999.9,M
1950,   -10.7, ,   -13.5, ,    -7.7, ,     -.3, , -9999.9,M,    10.7, ,    13.7, ,    14.8, ,    10.1, ,     5.1, ,     3.5, ,     -.4, , -9999.9,M,    -9.2, , -9999.9,M,    13.1, ,     6.2, 
1951, -9999.9,M, -9999.9,M,     -.9, ,     4.6, ,     5.9, ,    10.8, ,    15.1, , -9999.9,M, -9999.9,M,     5.6, ,     1.7, , -9999.9,M, -9999.9,M, -9999.9,M,     3.2, , -9999.9,M, -9999.9,M
1952, -9999.9,M, -9999.9,M,    -1.5, ,      .9, ,     7.2, ,    10.7, ,    16.3, ,    16.6, ,    12.7, ,     6.7, ,     1.7, ,    -2.8, , -9999.9,M, -9999.9,M,     2.2, ,    14.5, ,     7.0, 
1953,    -4.6, ,    -4.5, ,    -3.7, ,     4.9, ,     5.0, ,     9.5, ,    14.4, ,    14.1, ,    11.4, ,     4.9, ,     2.4, ,    -3.1, ,     4.2, ,    -4.0, ,     2.1, ,    12.7, ,     6.2, 
1954,    -9.0, ,    -3.4, ,    -3.1, ,    -1.7, ,     5.5, ,    10.9, ,    15.0, ,    13.2, ,    10.8, ,     5.2, ,     1.5, ,    -1.8, ,     3.6, ,    -5.2, ,      .2, ,    13.0, ,     5.8, 
1955,    -2.7, ,    -5.7, ,    -3.4, ,    -1.1, , -9999.9,M,    10.2, ,    13.5, , -9999.9,M,    10.4, ,     5.9, ,     1.6, ,    -4.4, , -9999.9,M,    -3.4, , -9999.9,M, -9999.9,M,     6.0, 
1956,      .2, ,    -6.0, ,    -6.0, ,     1.6, ,     3.1, ,     8.8, ,    13.7, ,    14.5, ,    10.3, ,     7.4, ,     2.4, ,    -6.4, ,     3.6, ,    -3.4, ,     -.4, ,    12.3, ,     6.7, 
1957,   -15.3, ,   -10.8, ,    -3.3, ,    -1.9, ,     2.8, ,     8.7, ,    13.9, ,    15.2, ,    11.2, ,     6.4, , -9999.9,M,    -1.3, , -9999.9,M,   -10.8, ,     -.8, ,    12.6, , -9999.9,M
1958,    -1.9, ,    -2.4, ,    -1.0, ,     2.7, ,     7.6, ,     9.9, ,    14.0, ,    15.1, ,    10.9, ,     5.2, ,     1.1, ,    -6.8, ,     4.5, ,    -1.9, ,     3.1, ,    13.0, ,     5.7, 
