8401550,EXPLOITS DAM   ,NL, station not joined, Monthly mean of homogenized daily mean temperature                     , °C,          Updated to December 2012
8401550,EXPLOITS DAM   ,NL, station non-jointe, Moyenne mensuelle des températures homogénéisées moyennes quotidiennes , °C, Mise à jour jusqu à décembre 2012
Year,     Jan, ,     Feb, ,     Mar, ,     Apr, ,     May, ,     Jun, ,     Jul, ,     Aug, ,     Sep, ,     Oct, ,     Nov, ,     Dec, ,  Annual, ,  Winter, ,  Spring, ,  Summer, ,  Autumn
Year,    Janv, ,     Fév, ,    Mars, ,     Avr, ,     Mai, ,    Juin, ,    Juil, ,    Août, ,    Sept, ,     Oct, ,     Nov, ,     Déc, ,  Annuel, ,   Hiver, ,Printemp, ,     Eté, , Automne
1956, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    13.7, ,    13.1, ,     9.6, ,     6.2, ,     3.1, ,    -6.2, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,     6.3, 
1957,   -13.1, ,   -10.2, ,    -4.0, ,    -1.2, ,     3.7, ,     9.0, ,    14.8, ,    14.7, ,    10.3, ,     6.9, ,     1.0, ,    -1.4, ,     2.5, ,    -9.8, ,     -.5, ,    12.8, ,     6.1, 
1958,    -2.3, ,    -2.6, ,    -1.8, ,     3.0, ,     7.7, ,     9.7, ,    13.7, ,    14.6, ,    10.2, ,     4.6, ,      .9, ,    -7.5, ,     4.2, ,    -2.1, ,     3.0, ,    12.7, ,     5.2, 
1959,    -7.0, ,   -12.3, ,    -9.0, ,      .8, ,     5.6, ,     9.8, ,    16.1, ,    14.3, ,    10.1, ,     4.7, ,     1.6, ,    -3.4, ,     2.6, ,    -8.9, ,     -.9, ,    13.4, ,     5.5, 
1960,    -5.6, ,    -2.8, ,    -5.5, ,     -.4, ,     7.7, ,    11.9, ,    14.8, ,    15.4, ,    11.3, ,     5.5, ,     1.1, ,    -3.9, ,     4.1, ,    -3.9, ,      .6, ,    14.0, ,     6.0, 
1961,    -9.4, ,   -15.5, ,    -7.8, ,      .5, ,     6.1, ,    11.4, ,    15.1, ,    15.8, ,    12.8, ,     7.0, ,     3.6, ,    -2.2, ,     3.1, ,    -9.6, ,     -.4, ,    14.1, ,     7.8, 
1962,    -7.9, ,   -11.1, ,     -.9, ,      .0, ,     4.7, ,    10.2, ,    13.1, ,    14.4, ,     9.5, ,     5.3, ,     2.2, ,    -5.3, ,     2.9, ,    -7.1, ,     1.3, ,    12.6, ,     5.7, 
1963,    -4.2, , -9999.9,M,    -6.7, ,     -.4, ,     6.5, ,     8.8, ,    15.0, ,    13.5, ,     9.8, ,     6.5, ,     2.1, ,    -5.2, , -9999.9,M, -9999.9,M,     -.2, ,    12.4, ,     6.1, 
1964,    -9.0, ,    -6.4, ,    -7.0, ,      .1, ,     5.2, ,     9.6, ,    14.2, ,    12.3, ,    10.1, ,     5.5, ,     -.2, ,    -4.6, ,     2.5, ,    -6.9, ,     -.6, ,    12.0, ,     5.1, 
1965,    -7.2, ,   -10.3, ,    -3.1, ,    -1.1, ,     4.0, ,    10.8, ,    14.9, ,    14.8, ,     9.5, ,     4.3, ,    -1.1, ,    -5.3, ,     2.5, ,    -7.4, ,     -.1, ,    13.5, ,     4.2, 
1966,    -5.3, ,    -7.3, ,    -2.7, ,      .7, ,     5.4, ,    11.8, ,    15.7, ,    14.8, ,    10.1, ,     6.4, ,     2.5, ,    -2.3, ,     4.2, ,    -6.0, ,     1.1, ,    14.1, ,     6.3, 
1967,    -7.3, ,   -10.9, ,    -9.2, ,    -3.2, ,     3.9, ,    12.1, ,    18.0, ,    18.4, ,    11.8, ,     6.5, ,     3.2, ,    -3.1, ,     3.4, ,    -6.8, ,    -2.8, ,    16.2, ,     7.2, 
1968,    -7.1, ,    -8.8, ,    -4.0, ,     2.1, ,     5.5, ,     9.5, ,    14.1, , -9999.9,M,    11.9, ,     6.7, ,     -.3, ,    -2.6, , -9999.9,M,    -6.3, ,     1.2, , -9999.9,M,     6.1, 
1969,    -4.2, ,    -3.1, ,    -2.4, ,    -1.7, ,     4.9, ,    12.7, , -9999.9,M,    15.4, ,     9.4, ,     3.5, ,     2.1, ,      .6, , -9999.9,M,    -3.3, ,      .3, , -9999.9,M,     5.0, 
1970,    -8.5, ,    -5.8, ,    -2.6, ,     -.1, ,     6.5, ,    11.3, ,    16.6, ,    16.0, ,     9.1, ,     6.4, ,     2.9, ,    -5.9, ,     3.8, ,    -4.6, ,     1.3, ,    14.6, ,     6.1, 
1971,    -8.7, ,    -9.3, ,    -2.2, ,     2.9, ,     8.8, ,    11.2, ,    15.0, ,    16.1, ,    11.3, ,     5.8, ,     2.0, ,    -7.1, ,     3.8, ,    -8.0, ,     3.2, ,    14.1, ,     6.4, 
1972,    -9.7, ,   -13.0, ,    -6.5, ,    -1.0, ,     3.6, ,    12.1, ,    15.6, ,    14.1, ,    10.0, ,     4.6, ,    -1.2, ,   -10.3, ,     1.5, ,    -9.9, ,    -1.3, ,    13.9, ,     4.5, 
1973,    -9.4, ,    -7.9, ,    -5.7, ,      .4, ,     6.3, ,    11.8, ,    18.1, ,    13.5, ,     9.9, ,     4.9, ,      .2, ,    -1.8, ,     3.4, ,    -9.2, ,      .3, ,    14.5, ,     5.0, 
1974,   -12.4, ,    -9.6, ,    -7.6, ,     -.6, ,     3.4, ,    11.5, ,    13.9, ,    14.4, ,    10.3, ,     4.3, ,      .7, ,    -4.2, ,     2.0, ,    -7.9, ,    -1.6, ,    13.3, ,     5.1, 
