8402958,PLUM POINT     ,NL, station not joined, Monthly mean of homogenized daily mean temperature                     , °C,          Updated to December 2012
8402958,PLUM POINT     ,NL, station non-jointe, Moyenne mensuelle des températures homogénéisées moyennes quotidiennes , °C, Mise à jour jusqu à décembre 2012
Year,     Jan, ,     Feb, ,     Mar, ,     Apr, ,     May, ,     Jun, ,     Jul, ,     Aug, ,     Sep, ,     Oct, ,     Nov, ,     Dec, ,  Annual, ,  Winter, ,  Spring, ,  Summer, ,  Autumn
Year,    Janv, ,     Fév, ,    Mars, ,     Avr, ,     Mai, ,    Juin, ,    Juil, ,    Août, ,    Sept, ,     Oct, ,     Nov, ,     Déc, ,  Annuel, ,   Hiver, ,Printemp, ,     Eté, , Automne
1972, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    12.7, ,    13.3, ,     9.9, ,     4.0, ,    -1.3, ,   -13.9, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,     4.2, 
1973,   -12.7, ,   -10.1, ,    -6.4, ,     -.4, ,     4.6, ,     8.8, ,    15.9, ,    13.7, ,    11.3, ,     4.8, ,      .4, ,    -1.6, ,     2.4, ,   -12.2, ,     -.7, ,    12.8, ,     5.5, 
1974,   -16.2, ,   -10.5, ,    -9.1, ,    -2.9, ,     2.3, ,     8.3, ,    12.1, ,    13.5, ,    10.5, ,     4.1, ,      .0, ,    -4.3, ,      .7, ,    -9.4, ,    -3.2, ,    11.3, ,     4.9, 
1975,   -12.7, ,   -14.8, ,    -5.4, ,    -1.1, ,     3.2, ,     9.3, ,    16.3, ,    14.2, ,    11.7, ,     5.1, ,      .1, ,    -5.8, ,     1.7, ,   -10.6, ,    -1.1, ,    13.3, ,     5.6, 
1976,    -8.6, ,   -12.1, ,    -8.6, ,      .5, ,     5.0, ,     8.8, ,    14.2, ,    14.7, ,    11.6, ,     4.4, ,     -.7, ,    -7.4, ,     1.8, ,    -8.8, ,    -1.0, ,    12.6, ,     5.1, 
1977,    -7.4, ,    -9.6, ,    -3.9, ,     -.9, ,     3.5, ,    11.9, ,    14.0, ,    14.3, ,     8.6, ,     5.0, ,     3.3, ,    -4.4, ,     2.9, ,    -8.1, ,     -.4, ,    13.4, ,     5.6, 
1978,    -8.9, ,    -5.4, ,    -9.0, ,    -1.4, ,     4.6, ,    10.1, ,    14.4, ,    13.8, ,     8.1, ,     5.3, ,    -2.3, ,    -5.9, ,     2.0, ,    -6.2, ,    -1.9, ,    12.8, ,     3.7, 
1979,    -5.5, ,   -11.5, ,    -2.4, ,     1.6, ,     7.4, ,    12.4, ,    14.3, ,    13.5, ,    10.1, ,     5.5, ,      .8, ,    -4.9, ,     3.4, ,    -7.6, ,     2.2, ,    13.4, ,     5.5, 
1980,    -7.7, ,    -9.8, ,    -5.2, ,      .6, ,     4.0, ,     8.3, ,    12.9, ,    11.7, ,     9.3, ,     4.8, ,     1.9, ,    -6.3, ,     2.0, ,    -7.5, ,     -.2, ,    11.0, ,     5.3, 
1981,    -6.5, ,    -2.8,E,    -1.2, ,     1.1, ,     6.9, ,     9.5, ,    14.1, ,    13.5, ,    11.5, ,     6.2,E,     1.4, ,    -2.5,E,     4.3,E,    -5.2,E,     2.3, ,    12.4, ,     6.4,E
1982,    -8.1, ,   -15.0,E,    -8.4, ,    -1.3, ,     3.8, ,     8.4, ,    13.5, ,    14.6, ,    10.1, ,     2.5, ,      .2,E,    -6.9, ,     1.1,E,    -8.5,E,    -2.0, ,    12.2, ,     4.3,E
1983,    -9.2, ,    -9.3, ,    -3.9, ,     3.2, ,     5.1, ,    10.4, ,    15.0, ,    13.0, ,    11.3, ,     6.2, ,      .6, ,    -6.0, ,     3.0, ,    -8.5, ,     1.5, ,    12.8, ,     6.0, 
1984,   -12.8, ,    -8.6, ,    -6.0, ,    -2.1, ,     7.2, ,     8.1, ,    15.3, ,    15.0, ,    10.4, ,     3.9, ,      .1, ,    -6.9, ,     2.0, ,    -9.1, ,     -.3, ,    12.8, ,     4.8, 
1985,    -9.7, ,    -9.5, ,    -8.0, ,    -1.7, ,     2.7, ,     8.9, ,    14.7, ,    14.3, ,    11.0, ,     4.3, ,    -1.3, ,    -6.3, ,     1.6, ,    -8.7, ,    -2.3, ,    12.6, ,     4.7, 
1986,    -7.9, ,    -9.5,E,    -8.9, ,      .8, ,     5.5, ,     9.1, ,    12.7, ,    14.6, ,     9.0, ,     3.5, ,    -3.2, ,    -6.9, ,     1.6,E,    -7.9,E,     -.9, ,    12.1, ,     3.1, 
1987,   -11.8, ,    -7.8, ,    -5.9, ,     1.0, ,     5.7, ,    10.6, ,    14.9, ,    14.7, ,    10.4, ,     7.3, ,     -.5, ,    -4.0, ,     2.9, ,    -8.8, ,      .3, ,    13.4, ,     5.7, 
1988,    -9.9, ,   -11.9, ,    -4.0, ,      .8, ,     5.8, ,     8.9, ,    13.5, ,    14.9, ,    10.6, ,     5.8, ,     2.0, ,    -7.6, ,     2.4, ,    -8.6, ,      .9, ,    12.4, ,     6.1, 
1989,   -12.6, ,   -13.1, ,    -9.8, ,      .4, ,     5.9, ,    11.0, ,    14.7, ,    14.4, ,    11.3, ,     4.9, ,     -.1, ,    -6.6, ,     1.7, ,   -11.1, ,    -1.2, ,    13.4, ,     5.4, 
1990,   -12.7, ,   -17.3, ,   -10.0, ,     -.8, ,     3.1, ,     9.2, ,    13.3, ,    15.8, ,    11.9, ,     5.7, ,     -.6, ,    -6.4, ,      .9, ,   -12.2, ,    -2.6, ,    12.8, ,     5.7, 
1991,   -16.7, ,   -12.3, ,    -4.7, ,    -2.8, ,     3.6, ,     7.2, ,    12.3, ,    13.6, ,     9.8, ,     6.2, ,     1.2, ,   -10.4, ,      .6, ,   -11.8, ,    -1.3, ,    11.0, ,     5.7, 
1992,   -11.0, ,   -14.4, ,    -7.8, ,    -2.5, ,     3.5, ,     9.2, ,    11.0, ,    13.4, ,    11.6, ,     5.3, ,    -1.9, ,    -7.6, ,      .7, ,   -11.9, ,    -2.3, ,    11.2, ,     5.0, 
1993,   -13.7, ,   -15.1, ,    -8.9, ,     -.9, ,     4.0, ,     7.9, ,    10.8, ,    13.6, ,    11.2, ,     4.8, ,     -.5, ,    -3.7, ,      .8, ,   -12.1, ,    -1.9, ,    10.8, ,     5.2, 
1994,   -10.8, ,   -15.0, ,    -6.5, ,    -1.0, ,     3.7,E,     9.0, ,    14.1, ,    14.9, ,    10.2, ,     5.8,E,     1.1, ,    -5.6, ,     1.7,E,    -9.8, ,    -1.3,E,    12.7, ,     5.7,E
1995,   -11.6, ,   -13.6, ,    -7.4, ,     -.5, ,     4.5, ,    10.4, ,    14.0, ,    13.8, ,    10.5, ,     7.0, ,     1.3, ,    -5.1, ,     1.9, ,   -10.3, ,    -1.1, ,    12.7, ,     6.3, 
1996,    -9.8, ,    -6.5, ,    -4.3, ,     2.8, ,     5.2, ,     9.5, ,    13.4, ,    16.4, ,     9.7, ,     5.1, ,      .2, ,    -2.0, ,     3.3, ,    -7.1, ,     1.2, ,    13.1, ,     5.0, 
1997,    -8.1, ,   -13.9, ,    -9.6, ,     -.6, ,     4.7, ,     9.6, ,    14.1, ,    13.7, ,    10.9, ,     5.1, ,      .0, ,    -3.9, ,     1.8, ,    -8.0, ,    -1.8, ,    12.5, ,     5.3, 
1998,    -9.0, ,    -8.4, ,    -4.7, ,     1.0, ,     6.1, ,    11.1, ,    15.5, ,    14.7, ,    10.5, ,     5.5, ,      .6, ,    -5.0, ,     3.2, ,    -7.1, ,      .8, ,    13.8, ,     5.5, 
1999,    -7.9, ,    -6.3, ,     -.7, ,     1.2, ,     7.4, ,    11.7, ,    15.3, ,    15.4,E,    13.5,E,     4.2, ,     1.2, ,    -3.7, ,     4.3,E,    -6.4, ,     2.6, ,    14.1,E,     6.3,E
2000,    -6.8, ,    -8.6, ,    -3.7, ,      .8, ,     4.2, ,    10.9, ,    14.8, ,    16.7, ,    12.3, ,     5.1, ,      .8, ,    -4.8, ,     3.5, ,    -6.4, ,      .4, ,    14.1, ,     6.1, 
