8403800,STEPHENVILLE   ,NL, station joined    , Monthly mean of homogenized daily mean temperature                     , °C,          Updated to December 2012
8403800,STEPHENVILLE   ,NL, station jointe    , Moyenne mensuelle des températures homogénéisées moyennes quotidiennes , °C, Mise à jour jusqu à décembre 2012
Year,     Jan, ,     Feb, ,     Mar, ,     Apr, ,     May, ,     Jun, ,     Jul, ,     Aug, ,     Sep, ,     Oct, ,     Nov, ,     Dec, ,  Annual, ,  Winter, ,  Spring, ,  Summer, ,  Autumn
Year,    Janv, ,     Fév, ,    Mars, ,     Avr, ,     Mai, ,    Juin, ,    Juil, ,    Août, ,    Sept, ,     Oct, ,     Nov, ,     Déc, ,  Annuel, ,   Hiver, ,Printemp, ,     Eté, , Automne
1895, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    11.9, ,    16.4, ,    15.8, ,    12.9, ,     8.2, ,      .9, ,    -1.9, , -9999.9,M, -9999.9,M, -9999.9,M,    14.7, ,     7.3, 
1896,    -7.3, ,    -8.1, ,    -6.4, ,    -1.5, ,     6.6, ,    13.4, , -9999.9,M,    16.6, ,    10.7, , -9999.9,M,     -.6, ,    -6.6, , -9999.9,M,    -5.8, ,     -.4, , -9999.9,M, -9999.9,M
1897,    -8.0, , -9999.9,M,    -9.1, ,     -.8, ,     7.2, ,     8.7, ,    13.9, ,    17.2, ,    10.7, ,     4.8, ,      .5, ,    -3.0, , -9999.9,M, -9999.9,M,     -.9, ,    13.3, ,     5.3, 
1898,   -10.5, ,    -6.7, , -9999.9,M,      .2, ,     9.1, ,    14.4, ,    19.0, ,    19.3, ,    11.8, ,     8.6, ,     3.3, ,    -6.2, , -9999.9,M,    -6.7, , -9999.9,M,    17.6, ,     7.9, 
1899,    -8.9, ,   -12.0, ,    -3.3, ,     5.2, ,     7.3, ,    12.0, ,    14.3, ,    16.2, ,    13.4, ,     6.2, ,     3.4, ,    -3.2, ,     4.2, ,    -9.0, ,     3.1, ,    14.2, ,     7.7, 
1900,    -6.9, ,    -8.1, ,    -6.1, ,     -.4, ,     4.5, ,    12.1, ,    15.7, ,    16.4, ,    16.0, ,     8.1, ,     2.7, ,    -5.2, ,     4.1, ,    -6.1, ,     -.7, ,    14.7, ,     8.9, 
1901,    -6.7, ,    -4.0, ,    -1.7, ,     7.8, ,     7.4, ,    13.1, ,    16.5, ,    17.0, ,    12.1, ,     8.4, ,      .4, ,    -3.6, ,     5.6, ,    -5.3, ,     4.5, ,    15.5, ,     7.0, 
1902,    -8.2, ,    -6.5, ,    -2.3, ,     3.3, ,     6.8, ,    10.5, ,    15.1, ,    16.2, ,    14.2, ,     7.3, ,     1.8, ,    -3.5, ,     4.6, ,    -6.1, ,     2.6, ,    13.9, ,     7.8, 
1903,    -6.9, ,    -8.5, ,    -3.6, ,     2.4, ,     6.5, ,    10.1, ,    14.2, ,    13.2, ,    11.9, ,     6.7, ,     4.3, ,     -.4, ,     4.2, ,    -6.3, ,     1.8, ,    12.5, ,     7.6, 
1904,   -10.2, ,   -11.9, ,    -7.6, ,      .1, ,     6.5, ,    10.7, ,    17.8, ,    16.3, ,    11.3, ,     7.3, ,     2.0, ,    -4.7, ,     3.1, ,    -7.5, ,     -.3, ,    14.9, ,     6.9, 
1905,    -8.8, ,    -9.5, ,    -9.8, ,     1.9, ,     4.3, ,    10.6, ,    15.4, ,    14.8, ,    11.5, ,     6.2, ,     1.8, ,    -3.7, ,     2.9, ,    -7.7, ,    -1.2, ,    13.6, ,     6.5, 
1906,    -3.7, ,    -4.7, ,    -5.3, ,     1.6, ,     6.5, ,    10.6, ,    17.1, ,    16.5, ,    11.9, ,     5.3, ,      .8, ,     -.3, ,     4.7, ,    -4.0, ,      .9, ,    14.7, ,     6.0, 
1907,    -7.0, ,   -10.3, ,    -7.1, ,     -.1, ,     5.3, ,    10.3, ,    15.2, ,    15.9, ,    12.4, ,     7.2, ,     2.8, ,      .3, ,     3.7, ,    -5.9, ,     -.6, ,    13.8, ,     7.5, 
1908,    -3.6, ,    -4.2, ,    -4.9, ,    -1.9, ,     6.7, ,    11.9, ,    16.9, ,    16.2, ,    13.3, ,     7.7, ,     1.4, ,    -3.3, ,     4.7, ,    -2.5, ,      .0, ,    15.0, ,     7.5, 
1909,    -6.9, ,    -7.1, ,    -1.9, ,     1.4, ,     6.3, ,    12.0, ,    16.4, ,    16.6, ,    13.7, ,    10.2, ,     5.5, ,    -1.0, ,     5.4, ,    -5.8, ,     1.9, ,    15.0, ,     9.8, 
1910,    -4.8, ,    -6.3, ,    -2.7, ,     4.4, ,     8.2, ,    10.9, ,    15.7, ,    15.4, ,    11.7, ,     7.1, ,     4.9, ,     -.8, ,     5.3, ,    -4.0, ,     3.3, ,    14.0, ,     7.9, 
1911,    -7.2, ,   -12.0, ,    -6.3, ,     1.4, , -9999.9,M,    13.5, ,    17.0, ,    16.1, ,    11.9, ,     5.4, ,      .0, ,    -4.5, , -9999.9,M,    -6.7, , -9999.9,M,    15.5, ,     5.8, 
1912,    -8.5, ,    -7.3, ,    -4.1, ,    -1.2, ,     8.6, ,    10.2, ,    14.4, ,    14.9, ,     8.8, ,     5.9, ,     2.7, ,    -2.2, ,     3.5, ,    -6.8, ,     1.1, ,    13.2, ,     5.8, 
1913,    -5.3, ,   -10.9, ,    -3.4, ,     2.9, ,     6.5, ,     9.0, ,    14.2, ,    14.7, ,    12.3, ,    11.2, ,     4.8, ,      .0, ,     4.7, ,    -6.1, ,     2.0, ,    12.6, ,     9.4, 
1914,    -6.6, ,    -9.5, ,     -.6, ,     -.5, ,     6.9, ,     9.7, ,    15.3, ,    15.8, ,    11.6, ,     6.5, ,     1.8, ,    -2.1, ,     4.0, ,    -5.4, ,     1.9, ,    13.6, ,     6.6, 
1915,    -3.3, ,    -5.1, ,      .9, ,     3.8, ,     5.6, ,    10.7, ,    16.9, ,    18.2, ,    14.0, ,     9.7, ,     4.7, ,      .1, ,     6.4, ,    -3.5, ,     3.4, ,    15.3, ,     9.5, 
1916,    -7.2, ,    -7.6, ,    -4.4, ,     4.9, ,     7.7, ,    13.7, ,    16.8, ,    17.6, ,    15.3, ,     8.8, ,      .5, ,     1.6, ,     5.6, ,    -4.9, ,     2.7, ,    16.0, ,     8.2, 
1917, -9999.9,M,    -9.7, ,    -4.2, ,     4.6, ,    10.8, ,    16.3, ,    11.7, ,    14.0, ,     8.8, ,     6.5, ,     -.6, ,    -3.5, , -9999.9,M, -9999.9,M,     3.7, ,    14.0, ,     4.9, 
1918,    -3.4, ,    -9.7, ,    -6.2, ,    -1.4, ,     7.6, ,    10.7, ,    12.1, ,    15.8, , -9999.9,M,     6.0, ,     5.0, ,      .2, , -9999.9,M,    -5.5, ,      .0, ,    12.9, , -9999.9,M
1919,    -4.0, ,    -3.2, ,     -.2, ,     8.4, ,    11.2, , -9999.9,M,    16.8, ,    17.9, ,    17.0, ,     6.6, ,     3.6, ,    -1.3, , -9999.9,M,    -2.3, ,     6.5, , -9999.9,M,     9.1, 
1920, -9999.9,M,    -3.7, ,    -4.3, ,     1.8, ,     6.9, ,    11.6, , -9999.9,M,    17.2, ,    12.1, ,     6.9, ,    -1.0, ,    -4.2, , -9999.9,M, -9999.9,M,     1.5, , -9999.9,M,     6.0, 
1921,    -7.1, ,    -8.5, ,    -2.3, ,     2.0, ,     4.6, ,    12.3, ,    19.9, ,    16.7, ,    12.2, ,     8.5, ,     2.5, ,     -.6, ,     5.0, ,    -6.6, ,     1.4, ,    16.3, ,     7.7, 
1922,    -3.3, ,   -12.4, ,    -6.9, ,     3.3, ,     6.5, ,    12.9, ,    16.8, ,    17.2, ,    11.5, ,     7.1, ,      .6, ,    -7.9, ,     3.8, ,    -5.4, ,     1.0, ,    15.6, ,     6.4, 
1923,    -9.3, ,   -12.8, ,    -9.6, ,      .7, , -9999.9,M, -9999.9,M,    12.9, ,    12.6, ,    11.2, ,     7.9, ,     4.5, ,     1.9, , -9999.9,M,   -10.0, , -9999.9,M, -9999.9,M,     7.9, 
1924,    -6.1, ,    -9.6, ,     1.2, ,     2.1, ,     7.5, ,    11.4, ,    15.9, ,    16.9, ,    12.4, ,     6.7, ,     3.7, ,    -3.5, ,     4.9, ,    -4.6, ,     3.6, ,    14.7, ,     7.6, 
1925,   -11.5, ,    -5.8, ,     -.9, ,     2.9, , -9999.9,M,    12.0, ,    16.2, ,    16.7, ,    11.3, ,     5.1, ,     2.1, ,    -5.1, , -9999.9,M,    -6.9, , -9999.9,M,    15.0, ,     6.2, 
1926,    -7.6, ,   -10.5, ,    -6.3, ,    -1.5, ,     6.0, ,    12.4, ,    14.8, ,    14.8, ,    11.7, ,     7.9, ,     2.8, ,    -3.6, ,     3.4, ,    -7.7, ,     -.6, ,    14.0, ,     7.5, 
1927,    -3.6, ,   -11.8, ,    -7.6, ,     -.7, ,     4.7, ,     9.7, ,    15.9, ,    15.9, ,    11.7, ,     7.4, ,     2.7, ,    -3.2, ,     3.4, ,    -6.3, ,    -1.2, ,    13.8, ,     7.3, 
1928,    -7.7, ,   -10.0, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    -7.0, , -9999.9,M, -9999.9,M, -9999.9,M
1929, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M
1930, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M
1931, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M
1932, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M
1933, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M
1934, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    -4.3, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M
1935,    -7.0, ,   -10.5, ,    -8.1, ,     -.1, ,     4.1, ,    13.9, ,    14.9, ,    16.2, ,    10.9, ,     6.9, ,     2.1, ,    -1.6, ,     3.5, ,    -7.3, ,    -1.4, ,    15.0, ,     6.6, 
1936,    -3.9, ,    -7.0, ,     1.6, ,     1.9, ,     5.7, ,    13.5, ,    14.7, ,    15.5, ,    11.1, ,     7.1, ,     1.6, ,    -2.7, ,     4.9, ,    -4.2, ,     3.1, ,    14.6, ,     6.6, 
1937,    -7.2, ,    -5.6, ,    -3.0, ,      .1, ,     8.1, ,    13.6, ,    16.4, ,    17.8, ,    13.8, ,     7.3, ,     2.6, ,    -2.3, ,     5.1, ,    -5.2, ,     1.7, ,    15.9, ,     7.9, 
1938,    -6.3, ,   -12.0, ,    -7.2, ,     1.4, ,     5.5, ,    12.8, ,    16.4, ,    16.8, ,    13.7, ,     7.4, ,     1.6, ,    -2.6, ,     4.0, ,    -6.9, ,     -.1, ,    15.3, ,     7.6, 
1939,    -5.8, ,    -9.9, ,    -8.3, ,      .1, ,     4.1, ,     9.8, ,    16.4, ,    16.9, ,    11.4, ,     7.4, ,      .8, ,     -.8, ,     3.5, ,    -6.1, ,    -1.4, ,    14.4, ,     6.5, 
1940,    -6.1, ,    -6.0, ,     -.3, ,     1.6, ,     7.1, ,    12.2, ,    16.2, ,    15.0, ,    13.7, ,     5.9, ,     2.1, ,    -4.3, ,     4.8, ,    -4.3, ,     2.8, ,    14.5, ,     7.2, 
1941,    -6.2, ,    -4.1, ,    -4.5, ,      .7, ,     7.5, ,     9.6, ,    15.3, ,    13.8, ,     9.5, ,     5.2, ,     1.0, ,    -1.9, ,     3.8, ,    -4.9, ,     1.2, ,    12.9, ,     5.2, 
