8404310,GRAND FALLS    ,NL, station joined    , Monthly mean of homogenized daily mean temperature                     , °C,          Updated to December 2012
8404310,GRAND FALLS    ,NL, station jointe    , Moyenne mensuelle des températures homogénéisées moyennes quotidiennes , °C, Mise à jour jusqu à décembre 2012
Year,     Jan, ,     Feb, ,     Mar, ,     Apr, ,     May, ,     Jun, ,     Jul, ,     Aug, ,     Sep, ,     Oct, ,     Nov, ,     Dec, ,  Annual, ,  Winter, ,  Spring, ,  Summer, ,  Autumn
Year,    Janv, ,     Fév, ,    Mars, ,     Avr, ,     Mai, ,    Juin, ,    Juil, ,    Août, ,    Sept, ,     Oct, ,     Nov, ,     Déc, ,  Annuel, ,   Hiver, ,Printemp, ,     Eté, , Automne
1934,   -12.5, ,    -9.3, ,    -6.0, ,     4.7, ,     7.9, ,    11.4, ,    16.4, ,    15.9, ,    13.6, ,     6.4, ,     1.6, ,    -6.7, ,     3.6, , -9999.9,M,     2.2, ,    14.6, ,     7.2, 
1935,    -7.9, ,   -11.8, ,    -7.2, ,      .6, ,     4.9, ,    14.6, ,    16.7, ,    17.2, ,    10.1, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    -8.8, ,     -.6, ,    16.2, , -9999.9,M
1936, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M
1937,   -10.8, ,    -5.8, ,    -3.4, ,     1.0, ,    10.5, ,    15.4, ,    17.7, ,    18.4, ,    14.6, ,     7.3, ,     2.2, ,    -4.3, ,     5.2, , -9999.9,M,     2.7, ,    17.2, ,     8.0, 
1938,    -9.1, ,   -12.5, ,    -7.0, ,     1.6, , -9999.9,M,    15.0, ,    18.0, ,    17.2, , -9999.9,M, -9999.9,M,      .0, ,    -4.7, , -9999.9,M,    -8.6, , -9999.9,M,    16.7, , -9999.9,M
1939,    -8.7, ,   -12.5, ,    -9.4, ,     -.4, ,     4.2, ,     8.6, ,    16.6, ,    15.4, ,    10.1, ,     5.8, ,     -.9, ,    -1.5, ,     2.3, ,    -8.6, ,    -1.9, ,    13.5, ,     5.0, 
1940,    -6.6, ,    -7.6, ,    -1.4, ,     1.7, ,     7.5, ,    12.4, ,    17.2, , -9999.9,M,    13.2, ,     5.7, ,      .8, ,    -5.9, , -9999.9,M,    -5.2, ,     2.6, , -9999.9,M,     6.6, 
1941,    -7.4, , -9999.9,M,    -4.9, ,     1.6, ,     7.8, ,    10.7, ,    16.9, ,    14.0, ,     8.7, ,     4.4, ,     -.1, ,    -3.4, , -9999.9,M, -9999.9,M,     1.5, ,    13.9, ,     4.3, 
1942,    -7.1, ,    -3.6, ,     -.6, ,     1.6, ,     8.2, ,    12.6, ,    17.7, ,    16.9, ,    13.3, ,     7.5, ,     1.8, ,    -6.7, ,     5.1, ,    -4.7, ,     3.1, ,    15.7, ,     7.5, 
1943,    -9.7, ,    -6.2, ,    -4.9, ,     1.3, ,     5.1, ,     9.1, , -9999.9,M,    13.8, ,    14.6, ,     8.3, ,     2.3, , -9999.9,M, -9999.9,M,    -7.5, ,      .5, , -9999.9,M,     8.4, 
1944,    -7.4, ,    -8.0, ,    -4.2, ,      .7, ,     6.6, ,    12.9, ,    15.7, ,    17.7, ,    13.8, ,     6.6, ,     3.0, ,    -3.5, ,     4.5, , -9999.9,M,     1.0, ,    15.4, ,     7.8, 
1945,    -4.0, ,    -8.2, ,    -4.5, ,     1.4, ,     7.4, ,    11.0, ,    17.3, ,    17.4, ,    11.4, ,     6.7, ,      .7, ,    -4.8, ,     4.3, ,    -5.2, ,     1.4, ,    15.2, ,     6.3, 
1946,    -8.7, ,    -7.3, , -9999.9,M,      .3, ,     6.6, ,    10.5, , -9999.9,M,    16.5, ,    12.7, ,     5.8, , -9999.9,M, -9999.9,M, -9999.9,M,    -6.9, , -9999.9,M, -9999.9,M, -9999.9,M
1947, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M
1948, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M
1949, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M
1950, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M
1951, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M
1952, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M
1953, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M
1954, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M
1955, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M
1956, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    16.1, ,    15.4, ,    11.2, ,     7.5, ,     3.7, ,    -6.6, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,     7.5, 
1957,   -11.8, ,    -8.2, ,    -2.6, ,     1.1, ,     5.8, ,    11.3, ,    18.4, ,    16.6, ,    11.7, ,     7.8, ,     1.7, ,     -.2, ,     4.3, ,    -8.9, ,     1.4, ,    15.4, ,     7.1, 
1958,    -1.6, ,    -1.8, ,    -1.0, ,     4.5, ,    10.3, ,    11.3, ,    15.5, ,    16.6, ,    12.0, ,     5.8, ,     1.6, ,    -6.7, ,     5.5, ,    -1.2, ,     4.6, ,    14.5, ,     6.5, 
1959,    -6.0, ,   -11.2, ,    -6.7, ,     2.3, ,     6.9, ,    11.0, ,    18.7, ,    16.0, ,    11.2, ,     5.6, ,     2.3, ,    -2.8, ,     3.9, ,    -8.0, ,      .8, ,    15.2, ,     6.4, 
1960,    -4.8, ,    -1.9, ,    -3.7, ,     1.1, ,     8.9, ,    14.4, ,    17.6, ,    17.2, ,    12.5, ,     6.3, ,     1.5, ,    -3.3, ,     5.5, ,    -3.2, ,     2.1, ,    16.4, ,     6.8, 
1961,    -9.5, ,   -12.9, ,    -5.9, ,     1.6, ,     7.8, ,    14.3, ,    17.4, ,    17.5, ,    13.9, ,     8.3, ,     4.7, ,    -1.1, ,     4.7, ,    -8.6, ,     1.2, ,    16.4, ,     9.0, 
1962,    -7.3, ,    -9.3, ,      .0, ,     2.0, ,     6.6, ,    12.0, ,    14.5, ,    16.5, ,    10.5, ,     6.1, ,     3.1, ,    -4.8, ,     4.2, ,    -5.9, ,     2.9, ,    14.3, ,     6.6, 
