8501130,CHURCHILL FALLS,NL, station joined    , Monthly mean of homogenized daily mean temperature                     , °C,          Updated to December 2012
8501130,CHURCHILL FALLS,NL, station jointe    , Moyenne mensuelle des températures homogénéisées moyennes quotidiennes , °C, Mise à jour jusqu à décembre 2012
Year,     Jan, ,     Feb, ,     Mar, ,     Apr, ,     May, ,     Jun, ,     Jul, ,     Aug, ,     Sep, ,     Oct, ,     Nov, ,     Dec, ,  Annual, ,  Winter, ,  Spring, ,  Summer, ,  Autumn
Year,    Janv, ,     Fév, ,    Mars, ,     Avr, ,     Mai, ,    Juin, ,    Juil, ,    Août, ,    Sept, ,     Oct, ,     Nov, ,     Déc, ,  Annuel, ,   Hiver, ,Printemp, ,     Eté, , Automne
1968, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,   -13.4, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M
1969,   -15.1, ,   -13.3, ,   -10.5, ,   -11.9, ,     1.6, ,     8.5, ,    13.1, ,    11.9, ,     3.8, ,    -2.9, ,    -3.5, ,   -12.6, ,    -2.6, ,   -13.9, ,    -6.9, ,    11.2, ,     -.9, 
1970,   -21.1, ,   -19.7, ,   -11.1, ,    -6.2, ,      .7, ,     7.3, ,    14.4, ,    13.7, ,     6.2, ,     1.7, ,    -8.3, ,   -20.8, ,    -3.6, ,   -17.8, ,    -5.5, ,    11.8, ,     -.1, 
1971,   -20.1, ,   -20.6, ,   -10.6, ,    -2.5, ,     3.4, ,     8.5, ,    13.4, ,    11.3, ,     7.2, ,     1.3, ,    -8.9, ,   -24.5, ,    -3.5, ,   -20.5, ,    -3.2, ,    11.1, ,     -.1, 
1972,   -24.2, ,   -24.7, ,   -18.0, ,    -6.5, ,    -1.9, ,     8.4, ,    13.9, ,    10.7, ,     5.7, ,    -2.9, ,   -11.2, ,   -26.0, ,    -6.4, ,   -24.5, ,    -8.8, ,    11.0, ,    -2.8, 
1973,   -22.5, ,   -22.6, ,   -11.9, ,    -3.8, ,     5.6, ,    11.7, ,    15.8, ,    13.9, ,     6.6, ,      .6, ,    -8.1, ,   -12.6, ,    -2.3, ,   -23.7, ,    -3.4, ,    13.8, ,     -.3, 
1974,   -28.6, ,   -20.3, ,   -17.3, ,    -8.3, ,     2.7, ,    12.1, ,    14.1, ,    11.6, ,     6.0, ,    -4.1, ,    -8.6, ,   -15.7, ,    -4.7, ,   -20.5, ,    -7.6, ,    12.6, ,    -2.2, 
1975,   -25.4, ,   -20.9, ,   -13.4, ,    -7.3, ,     1.2, ,     9.8, ,    16.1, ,    12.0, ,     8.2, ,      .9, ,    -8.6, ,   -20.9, ,    -4.0, ,   -20.7, ,    -6.5, ,    12.6, ,      .2, 
1976,   -23.0, ,   -21.8, ,   -17.6, ,    -5.3, ,     3.4, ,    10.2, ,    14.4, ,    11.2, ,     5.1, ,    -1.6, ,    -9.3, ,   -19.3, ,    -4.5, ,   -21.9, ,    -6.5, ,    11.9, ,    -1.9, 
1977,   -17.2, ,   -18.2, ,    -7.2, ,    -7.0, ,     2.1, ,    10.7, ,    11.8, ,    10.5, ,     4.6, ,      .7, ,    -4.4, ,   -18.6, ,    -2.7, ,   -18.2, ,    -4.0, ,    11.0, ,      .3, 
1978,   -23.2, ,   -14.1, ,   -17.8, ,    -5.6, ,     3.3, ,     8.2, ,    13.5, ,    11.1, ,     4.2, ,    -2.5, ,   -11.9, ,   -17.0, ,    -4.3, ,   -18.6, ,    -6.7, ,    10.9, ,    -3.4, 
1979,   -17.1, ,   -21.0, ,   -10.4, ,    -2.6, ,     7.2, ,    11.7, ,    13.6, ,    11.7, ,     5.7, ,     -.3, ,    -8.0, ,   -16.0, ,    -2.1, ,   -18.4, ,    -1.9, ,    12.3, ,     -.9, 
1980,   -17.8, ,   -19.1, ,   -11.3, ,    -4.6, ,     3.9, ,     8.7, ,    12.9, ,    13.9, ,     5.5, ,     -.5, ,    -7.2, ,   -21.5, ,    -3.1, ,   -17.6, ,    -4.0, ,    11.8, ,     -.7, 
1981,   -19.8, ,   -10.7, ,    -7.7, ,    -5.9, ,     3.0, ,     7.7, ,    13.4, ,    13.0, ,     9.4, ,     1.1, ,    -5.7, ,   -13.2, ,    -1.3, ,   -17.3, ,    -3.5, ,    11.4, ,     1.6, 
1982,   -22.3, ,   -24.1, ,   -16.0, ,    -9.1, ,     2.4, ,     9.8, ,    13.3, ,    11.1, ,     6.5, ,     -.7, ,    -7.8, ,   -19.9, ,    -4.7, ,   -19.9, ,    -7.6, ,    11.4, ,     -.7, 
1983,   -21.7, ,   -21.2, ,   -13.0, ,    -1.2, ,     3.4, ,    11.2, ,    13.3, ,    11.6, ,     8.0, ,      .2, ,    -8.5, ,   -20.4, ,    -3.2, ,   -20.9, ,    -3.6, ,    12.0, ,     -.1, 
1984,   -26.6, ,   -17.3, ,   -13.0, ,    -4.1, ,     3.1, ,     8.5, ,    14.2, ,    13.4, ,     6.3, ,      .5, ,    -6.9, ,   -20.1, ,    -3.5, ,   -21.4, ,    -4.7, ,    12.0, ,      .0, 
1985,   -20.7, ,   -19.0, ,   -13.6, ,    -7.2, ,     -.2, ,    10.8, ,    13.5, ,    13.0, ,     7.6, ,     -.3, ,    -8.3, ,   -18.7, ,    -3.6, ,   -19.9, ,    -7.0, ,    12.4, ,     -.3, 
1986,   -20.3, ,   -19.2, ,   -16.8, ,    -1.6, ,     4.8, ,     6.6, ,    12.8, ,    13.0, ,     5.4, ,    -2.1, ,   -14.5, ,   -18.1, ,    -4.2, ,   -19.4, ,    -4.5, ,    10.8, ,    -3.7, 
1987,   -22.0, ,   -16.9, ,   -10.3, ,     -.6, ,     3.6, ,     9.4, ,    13.7, ,    12.5, ,     8.4, ,      .6, ,    -8.2, ,   -18.2, ,    -2.3, ,   -19.0, ,    -2.4, ,    11.9, ,      .3, 
