8502800,NAIN           ,NL, station not joined, Monthly mean of homogenized daily mean temperature                     , °C,          Updated to December 2012
8502800,NAIN           ,NL, station non-jointe, Moyenne mensuelle des températures homogénéisées moyennes quotidiennes , °C, Mise à jour jusqu à décembre 2012
Year,     Jan, ,     Feb, ,     Mar, ,     Apr, ,     May, ,     Jun, ,     Jul, ,     Aug, ,     Sep, ,     Oct, ,     Nov, ,     Dec, ,  Annual, ,  Winter, ,  Spring, ,  Summer, ,  Autumn
Year,    Janv, ,     Fév, ,    Mars, ,     Avr, ,     Mai, ,    Juin, ,    Juil, ,    Août, ,    Sept, ,     Oct, ,     Nov, ,     Déc, ,  Annuel, ,   Hiver, ,Printemp, ,     Eté, , Automne
1970,   -13.6,a,   -19.3,a,    -7.7,a,    -6.5,a,      .2,a,     6.0,a,    12.2,a,     7.7,a,     5.1,a,     2.8,a,    -5.6,a,   -14.4,a,    -2.8,a, -9999.9,M,    -4.7,a,     8.6,a,      .8,a
1971,   -16.3,a,   -14.6,a,    -9.6,a,    -5.1,a,     1.0,a,     4.9,a,    10.4,a, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,   -17.1,a, -9999.9,M,   -15.1,a,    -4.6,a, -9999.9,M, -9999.9,M
1972,   -18.1,a,   -16.0,a,   -12.5,a,    -5.7,a,    -2.0,a,     6.7,a,    11.2,a,     9.1,a,     4.5,a,    -3.8,a,   -12.0,a,   -16.4,a,    -4.6,a,   -17.1,a,    -6.7,a,     9.0,a,    -3.8,a
1973,   -17.0,a,   -20.8,a,   -10.9,a,    -2.8,a,     3.0,a,     7.7,a,    11.5,a,     9.5,a,     8.0,a,     1.3,a,    -3.4,a,    -8.9,a,    -1.9,a,   -18.1,a,    -3.6,a,     9.6,a,     2.0,a
1974,   -22.8,a,   -14.4,a,   -13.8,a,    -7.8,a,      .0,a,     7.9,a,    10.8,a,     9.8,a,     5.9,a,    -1.2,a,    -5.0,a,   -12.4,a,    -3.6,a,   -15.4,a,    -7.2,a,     9.5,a,     -.1,a
1975,   -23.9,a,   -19.2,a,    -9.0,a,    -3.5,a,     2.7,a,     6.2,a,    11.9,a,    11.3,a,     7.4,a,     2.2,a,    -3.9,a, -9999.9,M, -9999.9,M,   -18.5,a,    -3.3,a,     9.8,a,     1.9,a
1976, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M
1977, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M
1978, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M
1979, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M
1980, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M
1981, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M
1982, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M
1983, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M
1984, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,     5.0,a,      .4,a,    -4.8,a,   -17.4,a, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,      .2,a
1985,   -13.3,a,   -16.2,a,   -12.4,a,    -8.5,a,    -1.0,a,     6.8,a,    10.6,a,    10.1,a,     8.0,a,     1.0,a,    -4.0,a,   -12.3,a,    -2.6,a,   -15.6,a,    -7.3,a,     9.2,a,     1.7,a
1986,   -16.6,a,   -13.9,a,   -17.9,a,    -3.6,a,     3.3,a,     3.5,a,     8.9,a,    10.8,a,     7.3,a,    -2.0,a,   -11.6,a,   -15.2,a,    -3.9,a,   -14.3,a,    -6.1,a,     7.7,a,    -2.1,a
1987,   -16.8,a,   -13.4,a,   -11.6,a,    -1.8,a,     1.2,a,     6.3,a,     8.8,a,     9.4,a,     7.5,a,     1.5,a,    -4.4,a,   -10.2,a,    -2.0,a,   -15.1,a,    -4.1,a,     8.2,a,     1.5,a
1988,   -20.3,a,   -20.1,a,   -10.0,a,    -3.1,a,     2.5,a,     5.0,a,     9.9,a,    12.2,a,     6.2,a,     3.0,a,    -2.6,a,   -15.3,a,    -2.7,a,   -16.9,a,    -3.5,a,     9.0,a,     2.2,a
1989,   -20.2,a,   -21.1,a,   -15.9,a,    -2.6,a,     1.2,a,     6.5,a,    10.3,a,     9.1,a,     6.5,a,     1.0,a,    -6.3,a,   -11.1,a,    -3.6,a,   -18.9,a,    -5.8,a,     8.6,a,      .4,a
