8504175,WABUSH LAKE    ,NL, station not joined, Monthly mean of homogenized daily mean temperature                     , °C,          Updated to December 2012
8504175,WABUSH LAKE    ,NL, station non-jointe, Moyenne mensuelle des températures homogénéisées moyennes quotidiennes , °C, Mise à jour jusqu à décembre 2012
Year,     Jan, ,     Feb, ,     Mar, ,     Apr, ,     May, ,     Jun, ,     Jul, ,     Aug, ,     Sep, ,     Oct, ,     Nov, ,     Dec, ,  Annual, ,  Winter, ,  Spring, ,  Summer, ,  Autumn
Year,    Janv, ,     Fév, ,    Mars, ,     Avr, ,     Mai, ,    Juin, ,    Juil, ,    Août, ,    Sept, ,     Oct, ,     Nov, ,     Déc, ,  Annuel, ,   Hiver, ,Printemp, ,     Eté, , Automne
1960, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    -7.8, ,   -18.0, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M
1961,   -25.1, ,   -21.7, ,   -13.8, ,    -1.2, ,     2.3, ,     8.1, ,    12.5, ,    12.3, ,     8.4, ,      .4, ,    -4.9, ,   -11.7, ,    -2.9, ,   -21.6, ,    -4.2, ,    11.0, ,     1.3, 
1962,   -25.6, ,   -26.5, ,    -8.8, ,    -8.4, ,     1.6, ,     8.9, ,    12.8, ,    11.9, ,     6.6, ,      .8, ,    -8.6, ,   -17.5, ,    -4.4, ,   -21.3, ,    -5.2, ,    11.2, ,     -.4, 
1963,   -22.0, ,   -24.1, ,   -17.1, ,    -3.8, ,     1.5, ,     8.7, ,    13.4, ,    10.7, ,     4.4, ,     1.0, ,    -5.1, ,   -21.4, ,    -4.5, ,   -21.2, ,    -6.5, ,    10.9, ,      .1, 
1964,   -22.0, ,   -18.3, ,   -17.9, ,    -5.1, ,     2.5, ,     8.5, ,    13.2, ,    10.7, ,     6.2, ,    -2.6, ,    -9.0, ,   -19.5, ,    -4.4, ,   -20.6, ,    -6.8, ,    10.8, ,    -1.8, 
1965,   -24.1, ,   -20.9, ,   -13.2, ,    -6.1, ,     1.7, ,     8.6, ,    10.3, ,     9.6, ,     5.5, ,    -3.2, ,   -11.4, ,   -19.5, ,    -5.2, ,   -21.5, ,    -5.9, ,     9.5, ,    -3.0, 
1966,   -15.2, ,   -16.2, ,    -8.1, ,    -3.1, ,     1.1, ,     9.3, ,    11.9, ,    11.5, ,     6.4, ,     -.5, ,    -5.5, ,   -17.2, ,    -2.1, ,   -17.0, ,    -3.4, ,    10.9, ,      .1, 
1967,   -24.0, ,   -24.2, ,   -17.8, ,    -8.2, ,     2.2, ,    10.9, ,    14.5, ,    12.9, ,     7.2, ,      .8, ,    -6.6, ,   -15.3, ,    -4.0, ,   -21.8, ,    -7.9, ,    12.8, ,      .5, 
1968,   -24.1, ,   -18.0, ,   -15.4, ,    -2.9, ,     3.1, ,     9.5, ,    12.5, ,     8.4, ,    10.9, ,     3.0, ,    -9.1, ,   -14.7, ,    -3.1, ,   -19.1, ,    -5.1, ,    10.1, ,     1.6, 
1969,   -15.4, ,   -16.0, ,   -11.2, ,   -11.5, ,     1.3, ,     8.7, ,    12.9, ,    12.1, ,     4.0, ,    -3.0, ,    -3.7, ,   -14.5, ,    -3.0, ,   -15.4, ,    -7.1, ,    11.2, ,     -.9, 
