country,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Afghanistan,,,,,0.182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.39
Albania,,,,,,,,,,,,,,,,,,,,,,,,,,,0.987,,,,,,,0.959,,,0.968
Algeria,,,,,,,,,,,,,0.496,,,,,,,,,,,,,,,0.699,,,,0.727,,,,,
Angola,,,,,,,,,,,,,,,,,,,,,,,,,,,0.674,,,,,,,,,,0.704
Antigua and Barbuda,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99,,,,,,,,,,0.99
Argentina,,,,,,0.939,,,,,,,,,,,0.961,,,,,,,,,,0.972,,,,,,,,,,0.979
Armenia,,,,,,,,,,,,,,,0.988,,,,,,,,,,,,0.994,,,,,,,,,,0.996
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,0.988,,,,,,,,0.996,,0.998,,
Bahrain,,,,,,,0.698,,,,,,,,,,0.84,,,,,,,,,,0.865,,,,,,,,,0.946,
Bangladesh,,,,,,,0.292,,,,,,,,,,0.353,,,,,,,,,,0.475,,,,,,,,,,0.577
Belarus,,,,,,,,,,,,,,,0.979,,,,,,,,,,0.996,,,,,,,,,,0.996,,
Belize,,,,,,,,,,,,,,,,,0.703,,,,,,,,,,,,,,,,,,,,
Benin,,,,,0.165,,,,,,,,,,,,,0.273,,,,,,,,,,0.347,,,,0.287,,,,,
Bhutan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.528,,,,,,
Bolivia,,0.632,,,,,,,,,,,,,,,,0.8,,,,,,,,,0.867,,,,,,0.907,0.907,0.912,,
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,0.967,,,,,,,,,,,0.98
Botswana,,,,,,,,,,,,,,,,,0.686,,,,,,,,,,,,0.812,,,,,,,,0.851
Brazil,,,,,,0.746,,,,,,,,,,,,,,,,,,,,0.864,,,,0.886,,0.896,0.9,0.9,0.903,0.904,
Brunei,,,,,,,0.778,,,,,,,,,,0.878,,,,,,,,,,0.927,,,,,,,,,,0.955
