country,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Afghanistan,,,,,0.0499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.13
Albania,,,,,,,,,,,,,,,,,,,,,,,,,,,0.983,,,,,,,0.947,,,0.957
Algeria,,,,,,,,,,,,,0.358,,,,,,,,,,,,,,,0.601,,,,0.639,,,,,
Angola,,,,,,,,,,,,,,,,,,,,,,,,,,,0.542,,,,,,,,,,0.586
Antigua and Barbuda,,,,,,,,,,,,,,,,,,,,,,,,,,,0.994,,,,,,,,,,0.994
Argentina,,,,,,0.936,,,,,,,,,,,0.96,,,,,,,,,,0.972,,,,,,,,,,0.979
Armenia,,,,,,,,,,,,,,,0.982,,,,,,,,,,,,0.992,,,,,,,,,,0.995
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,0.982,,,,,,,,0.994,,0.997,,
Bahrain,,,,,,,0.586,,,,,,,,,,0.769,,,,,,,,,,0.836,,,,,,,,,0.916,
Bangladesh,,,,,,,0.18,,,,,,,,,,0.258,,,,,,,,,,0.408,,,,,,,,,,0.534
Belarus,,,,,,,,,,,,,,,0.966,,,,,,,,,,0.994,,,,,,,,,,0.995,,
Belize,,,,,,,,,,,,,,,,,0.703,,,,,,,,,,,,,,,,,,,,
Benin,,,,,0.0954,,,,,,,,,,,,,0.166,,,,,,,,,,0.233,,,,0.184,,,,,
Bhutan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.387,,,,,,
Bolivia,,0.514,,,,,,,,,,,,,,,,0.723,,,,,,,,,0.807,,,,,,0.86,0.868,0.868,,
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,0.944,,,,,,,,,,,0.967
Botswana,,,,,,,,,,,,,,,,,0.713,,,,,,,,,,,,0.818,,,,,,,,0.856
Brazil,,,,,,0.728,,,,,,,,,,,,,,,,,,,,0.865,,,,0.888,,0.899,0.902,0.902,0.904,0.907,
Brunei,,,,,,,0.69,,,,,,,,,,0.825,,,,,,,,,,0.902,,,,,,,,,,0.939
Bulgaria,,,,,,,,,,,,,,,,,,,,,,,,,,,0.977,,,,,,,,,,0.98
Burkina Faso,0.0318,,,,,,,,,,,,,,,,0.0822,,,,,0.0806,,,,,,,0.152,,0.166,,0.216,,,,
Burundi,,,,,0.12,,,,,,,,,,,0.275,,,,,,,,,,0.522,,,,,,,,0.846,,,
Cambodia,,,,,,,,,,,,,,,,,,,,,,,,0.57,,,,,,0.64,,,,0.709,0.659,,
Cameroon,,0.291,,,,,,,,,,,,,,,,,,,,,,,,0.587,,,,,,,0.63,,,0.648,
Cape Verde,,,,,,,,,,,,,,,,0.53,,,,,,,,,,,,,,0.741,,,,,,,0.803
Central African Republic,0.084,,,,,,,,,,,,,0.203,,,,,,,,,,,,0.353,,,,,,,,,,,0.442
Chad,,,,,,,,,,,,,,,,,,,0.0459,,,,,,,0.128,,,,0.18,,,,,,,0.254
Chile,,,,,,,,0.908,,,,,,,,,,0.94,,,,,,,,,,0.956,,,,,,0.987,0.985,,
China,,,,,,,,0.511,,,,,,,,0.681,,,,,,,,,,0.865,,,,,,,,,,0.927,
Colombia,,,,,,,,,,,,,,,,,,,0.812,,,0.913,,,,,,,,0.927,0.929,0.922,0.928,0.934,0.934,0.935,0.937
Comoros,,,,,,0.403,,,,,,,,,,,,,,,,,,,,0.635,,,,,,,,,,,0.706
"Congo, Dem. Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,,0.541,,,,,,0.461,,,,
Costa Rica,,,,,,,,,,0.926,,,,,,,,,,,,,,,,0.951,,,,,,,,,,,0.965
Cote d'Ivoire,,,,,,,,,,,,,,0.234,,,,,,,,,,0.285,,0.386,,,,,,,,,,,0.476
Croatia,,,,,,,,,,,,,,,,,0.948,,,,,,,,,,0.971,,,,,,,,,,0.983
Cuba,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.998,,,,,,,,,0.998
Cyprus,,,,,,,,,,,,,,,,,,0.91,,,,,,,,,0.951,,,,,,,,,,0.981
Dominican Republic,,,,,,,0.725,,,,,,,,,,,,,,,,,,,,,0.872,,,,,0.883,,,0.897,0.902
Ecuador,,,,,,,,0.804,,,,,,,,0.862,,,,,,,,,,,0.897,,,,,,0.817,,0.815,0.905,0.902
Egypt,,0.224,,,,,,,,,,0.314,,,,,,,,,,0.436,,,,,,,,,0.594,0.578,,,,0.635,0.646
El Salvador,,,,,,,,,,,,,,,,,,0.713,,,,,,,,,,,,0.784,,0.81,0.797,0.814,0.818,0.823,
Equatorial Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,0.816,,,,,,,,,,,0.911
Eritrea,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.402,,,,,,,,,0.59
Estonia,,,,,,,,,,,,,,,0.996,,,,,,,,,,,0.998,,,,,,,,,,,0.998
Eswatini,,0.537,,,,,,,,,,0.652,,,,,,,,,,,,,,0.803,,,,,,,,,,,0.873
Ethiopia,,,,,,,,,,,,,,,,,,,,0.185,,,,,,,,,,0.228,0.18,,0.289,,,,
Gabon,,,,,,,,,,,,,,,,,,,0.653,,,,,,,,,,,0.793,,,,,,,0.856
Gambia,,,,,,,,,,,,,,,,,,,,,,,,,,0.251,,,,,,,,,,,0.419
Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.995,,,,,,,,,0.997
Ghana,,,,,,,,,,,,,,,,,,,,,,,,,,0.498,,,,,,,,,,0.653,
Greece,,,,,,,0.853,,,,,,,,,,0.893,,,,,,,,,,0.942,,,,,,,,,,0.963
Guatemala,,,,,,,,,,,,,,,,,,,,0.573,,,,,,,,0.633,,,,,,,,,0.711
Guinea,,,,,,,,,,,,,,,,,,,,,,0.0974,,,,,,,0.182,,,,,,,0.122,
Guinea-Bissau,,,,,0.0859,,,,,,,,,,,,,,,,,,,,,0.275,,,,,,,,,,,0.421
