country,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Afghanistan,,,,,0.303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albania,,,,,,,,,,,,,,,,,,,,,,,,,,,0.992,,,,,,,0.973,,,0.98
Algeria,,,,,,,,,,,,,0.634,,,,,,,,,,,,,,,0.796,,,,0.813,,,,,
Angola,,,,,,,,,,,,,,,,,,,,,,,,,,,0.829,,,,,,,,,,0.826
Antigua and Barbuda,,,,,,,,,,,,,,,,,,,,,,,,,,,0.984,,,,,,,,,,0.984
Argentina,,,,,,0.943,,,,,,,,,,,0.962,,,,,,,,,,0.972,,,,,,,,,,0.978
Armenia,,,,,,,,,,,,,,,0.994,,,,,,,,,,,,0.997,,,,,,,,,,0.997
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,0.995,,,,,,,,0.998,,0.998,,
Bahrain,,,,,,,0.765,,,,,,,,,,0.885,,,,,,,,,,0.885,,,,,,,,,0.961,
Bangladesh,,,,,,,0.397,,,,,,,,,,0.443,,,,,,,,,,0.539,,,,,,,,,,0.62
Belarus,,,,,,,,,,,,,,,0.994,,,,,,,,,,0.998,,,,,,,,,,0.998,,
Belize,,,,,,,,,,,,,,,,,0.703,,,,,,,,,,,,,,,,,,,,
Benin,,,,,0.252,,,,,,,,,,,,,0.399,,,,,,,,,,0.479,,,,0.406,,,,,
Bhutan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.65,,,,,,
Bolivia,,0.758,,,,,,,,,,,,,,,,0.882,,,,,,,,,0.931,,,,,,0.96,0.95,0.958,,
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,0.99,,,,,,,,,,,0.995
Botswana,,,,,,,,,,,,,,,,,0.654,,,,,,,,,,,,0.804,,,,,,,,0.846
Brazil,,,,,,0.764,,,,,,,,,,,,,,,,,,,,0.862,,,,0.884,,0.893,0.898,0.898,0.902,0.901,
Brunei,,,,,,,0.852,,,,,,,,,,0.925,,,,,,,,,,0.952,,,,,,,,,,0.97
Bulgaria,,,,,,,,,,,,,,,,,,,,,,,,,,,0.987,,,,,,,,,,0.988
Burkina Faso,0.145,,,,,,,,,,,,,,,,0.196,,,,,0.185,,,,,,,0.294,,0.314,,0.367,,,,
Burundi,,,,,0.343,,,,,,,,,,,0.482,,,,,,,,,,0.673,,,,,,,,0.888,,,
Cambodia,,,,,,,,,,,,,,,,,,,,,,,,0.795,,,,,,0.847,,,,0.851,0.828,,
Cameroon,,0.546,,,,,,,,,,,,,,,,,,,,,,,,0.792,,,,,,,0.79,,,0.783,
Cape Verde,,,,,,,,,,,,,,,,0.748,,,,,,,,,,,,,,0.864,,,,,,,0.898
Central African Republic,0.296,,,,,,,,,,,,,0.48,,,,,,,,,,,,0.668,,,,,,,,,,,0.696
Chad,,,,,,,,,,,,,,,,,,,0.183,,,,,,,0.408,,,,0.394,,,,,,,0.456
Chile,,,,,,,,0.915,,,,,,,,,,0.946,,,,,,,,,,0.958,,,,,,0.986,0.986,,
China,,,,,,,,0.792,,,,,,,,0.87,,,,,,,,,,0.951,,,,,,,,,,0.975,
Colombia,,,,,,,,,,,,,,,,,,,0.815,,,0.911,,,,,,,,0.929,0.928,0.924,0.924,0.933,0.931,0.933,0.935
Comoros,,,,,,0.56,,,,,,,,,,,,,,,,,,,,0.745,,,,,,,,,,,0.805
"Congo, Dem. Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,,0.809,,,,,,0.769,,,,
Costa Rica,,,,,,,,,,0.927,,,,,,,,,,,,,,,,0.947,,,,,,,,,,,0.96
Cote d'Ivoire,,,,,,,,,,,,,,0.444,,,,,,,,,,0.44,,0.609,,,,,,,,,,,0.656
Croatia,,,,,,,,,,,,,,,,,0.988,,,,,,,,,,0.993,,,,,,,,,,0.995
Cuba,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.998,,,,,,,,,0.998
Cyprus,,,,,,,,,,,,,,,,,,0.978,,,,,,,,,0.986,,,,,,,,,,0.993
Dominican Republic,,,,,,,0.736,,,,,,,,,,,,,,,,,,,,,0.868,,,,,0.882,,,0.894,0.9
Ecuador,,,,,,,,0.868,,,,,,,,0.905,,,,,,,,,,,0.923,,,,,,0.873,,0.871,0.933,0.93
Egypt,,0.536,,,,,,,,,,0.57,,,,,,,,,,0.672,,,,,,,,,0.83,0.746,,,,0.803,0.81
El Salvador,,,,,,,,,,,,,,,,,,0.774,,,,,,,,,,,,0.815,,0.867,0.849,0.87,0.868,0.871,
Equatorial Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,0.948,,,,,,,,,,,0.971
Eritrea,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.654,,,,,,,,,0.795
Estonia,,,,,,,,,,,,,,,0.999,,,,,,,,,,,0.998,,,,,,,,,,,0.998
Eswatini,,0.574,,,,,,,,,,0.697,,,,,,,,,,,,,,0.832,,,,,,,,,,,0.884
Ethiopia,,,,,,,,,,,,,,,,,,,,0.36,,,,,,,,,,0.5,0.419,,0.491,,,,
Gabon,,,,,,,,,,,,,,,,,,,0.794,,,,,,,,,,,0.884,,,,,,,0.923
Gambia,,,,,,,,,,,,,,,,,,,,,,,,,,0.49,,,,,,,,,,,0.609
Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.998,,,,,,,,,0.998
Ghana,,,,,,,,,,,,,,,,,,,,,,,,,,0.663,,,,,,,,,,0.783,
Greece,,,,,,,0.961,,,,,,,,,,0.96,,,,,,,,,,0.978,,,,,,,,,,0.984
Guatemala,,,,,,,,,,,,,,,,,,,,0.717,,,,,,,,0.754,,,,,,,,,0.812
Guinea,,,,,,,,,,,,,,,,,,,,,,0.329,,,,,,,0.429,,,,,,,0.368,
Guinea-Bissau,,,,,0.334,,,,,,,,,,,,,,,,,,,,,0.576,,,,,,,,,,,0.689
Guyana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.824,,
Haiti,,,,,,,,0.371,,,,,,,,,,,,,,,,,,,,,0.631,,,0.534,,,,,
Honduras,,,,,,,,,,,,,,,,,,,,,,,,,,,0.798,,,,,,0.838,,,0.848,0.853
Hungary,,,,,,0.993,,,,,,,,,,,,,,0.993,,,,,,,,,,0.992,,,,,,,0.992
India,,,,,,,0.548,,,,,,,,,,0.616,,,,,,,,,,0.734,,,,,0.752,,,,,
Indonesia,,,,,,0.775,,,,,,,,,,0.88,,,,,,,,,,,,,,0.94,,0.952,,0.954,0.957,,0.956
Iran,,0.482,,,,,,,,,,0.631,,,,,0.743,,,,,0.799,,,,,,0.835,,,0.88,0.873,,0.893,,,
Iraq,,,,,,,,,,,,,,,,,,,,,,,,,,0.841,,,,,,,,,,,0.86
Israel,,,,,,,,,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Italy,,,,,,,0.975,,,,,,,,,,,,,,,,,,,,0.988,,,,,,,,,,0.992
Jamaica,,,,,,,,,,,,,,,,,,,,,,,,,0.741,,,,,,,,,,,,0.821
Jordan,,,,,0.805,,,,,,,,,,,,,,,,,,,,,,,,0.951,,0.952,,0.955,,,0.958,0.978
Kazakhstan,,,,,,,,,,,,,,,0.991,,,,,,,,,,0.998,,,,,,,,,,0.998,,
Kenya,,,,,,,,,,,,,,,,,,,,,,,,,,0.875,,,,,,,0.781,,,,
Kuwait,0.68,,,,,0.728,,,,,0.782,,,,,,,,,,0.811,,,,,,,,,,0.945,0.945,0.948,0.95,,,
Kyrgyz Republic,,,,,,,,,,,,,,,,,,,,,,,,,0.993,,,,,,,,,,0.995,,
Lao,,,,,,,,,,,,,,,,,,,,,0.735,,,,,0.814,0.77,,,,0.825,,,,,,
