country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Afghanistan,0.154,0.158,0.154,0.156,0.159,0.161,0.164,0.166,0.162,0.164,0.165,0.167,0.173,0.174,0.174,0.175,0.176,0.176,0.181,0.181,0.186,0.185,0.189,0.189,0.192,0.191,0.194,0.197,0.199,0.201,0.203,0.205,0.207,0.209,0.213,0.214,0.215,0.219,0.222,0.223,0.226,0.229,0.231,0.234,0.235,0.237
Albania,0.874,0.879,0.883,0.889,0.892,0.897,0.902,0.906,0.91,0.914,0.92,0.924,0.928,0.931,0.935,0.94,0.942,0.947,0.95,0.954,0.957,0.961,0.965,0.969,0.971,0.974,0.978,0.981,0.985,0.987,0.99,0.993,0.995,0.997,1,1,1,1.01,1.01,1.01,1.01,1.02,1.02,1.02,1.02,1.03
Algeria,0.9,0.903,0.902,0.905,0.904,0.904,0.904,0.906,0.903,0.903,0.906,0.903,0.903,0.901,0.899,0.897,0.895,0.892,0.889,0.886,0.881,0.877,0.873,0.866,0.859,0.854,0.854,0.856,0.856,0.858,0.859,0.861,0.864,0.867,0.871,0.872,0.876,0.88,0.883,0.887,0.89,0.894,0.897,0.9,0.905,0.908
Andorra,0.97,0.974,0.978,0.981,0.984,0.988,0.991,0.995,0.998,1,1,1.01,1.01,1.01,1.01,1.02,1.02,1.02,1.02,1.03,1.03,1.03,1.03,1.03,1.04,1.04,1.04,1.04,1.04,1.04,1.04,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.06,1.06,1.06,1.06
Angola,0.513,0.514,0.519,0.523,0.528,0.532,0.534,0.538,0.543,0.548,0.553,0.557,0.561,0.564,0.569,0.575,0.58,0.584,0.587,0.593,0.599,0.604,0.608,0.612,0.618,0.624,0.628,0.635,0.639,0.645,0.65,0.657,0.662,0.667,0.673,0.678,0.685,0.689,0.695,0.701,0.705,0.712,0.717,0.722,0.729,0.733
Antigua and Barbuda,1.03,1.03,1.04,1.04,1.04,1.05,1.05,1.05,1.05,1.06,1.06,1.06,1.06,1.07,1.07,1.07,1.07,1.08,1.08,1.08,1.08,1.08,1.08,1.09,1.09,1.09,1.09,1.09,1.09,1.09,1.09,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1
Argentina,0.967,0.972,0.975,0.978,0.983,0.987,0.99,0.995,0.999,1,1.01,1.01,1.01,1.02,1.02,1.02,1.03,1.03,1.03,1.03,1.04,1.04,1.04,1.05,1.05,1.05,1.05,1.06,1.06,1.06,1.06,1.06,1.07,1.07,1.07,1.07,1.07,1.07,1.07,1.08,1.08,1.08,1.08,1.08,1.08,1.08
Armenia,0.917,0.921,0.925,0.929,0.935,0.938,0.942,0.947,0.949,0.953,0.958,0.961,0.965,0.968,0.973,0.975,0.978,0.981,0.985,0.988,0.992,0.994,0.997,1,1,1,1.01,1.01,1.01,1.02,1.02,1.02,1.02,1.02,1.03,1.03,1.03,1.03,1.04,1.04,1.04,1.04,1.04,1.04,1.05,1.05
Australia,0.952,0.955,0.957,0.961,0.963,0.965,0.969,0.97,0.973,0.975,0.977,0.979,0.981,0.983,0.984,0.986,0.988,0.99,0.991,0.992,0.994,0.995,0.997,0.997,0.999,1,1,1,1,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.02,1.02,1.02,1.02,1.02,1.02,1.02,1.03,1.03,1.03
Austria,0.85,0.854,0.859,0.864,0.869,0.873,0.877,0.882,0.886,0.891,0.894,0.899,0.904,0.908,0.913,0.917,0.921,0.925,0.93,0.933,0.937,0.941,0.945,0.949,0.953,0.957,0.961,0.964,0.967,0.971,0.975,0.977,0.981,0.984,0.986,0.99,0.992,0.995,0.998,1,1,1,1.01,1.01,1.01,1.01
Azerbaijan,0.869,0.872,0.877,0.882,0.886,0.891,0.895,0.898,0.903,0.907,0.911,0.914,0.919,0.923,0.926,0.929,0.933,0.937,0.94,0.944,0.947,0.95,0.954,0.957,0.959,0.964,0.966,0.968,0.971,0.974,0.977,0.98,0.982,0.984,0.986,0.989,0.991,0.994,0.996,0.998,1,1,1,1.01,1.01,1.01
Bahamas,0.962,0.966,0.971,0.974,0.978,0.982,0.985,0.988,0.992,0.996,0.999,1,1.01,1.01,1.01,1.02,1.02,1.02,1.02,1.03,1.03,1.03,1.03,1.04,1.04,1.04,1.04,1.05,1.05,1.05,1.05,1.05,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.07,1.07,1.07,1.07,1.07,1.07,1.07
Bahrain,0.795,0.803,0.81,0.819,0.828,0.835,0.845,0.851,0.861,0.87,0.879,0.887,0.895,0.905,0.914,0.923,0.933,0.942,0.95,0.96,0.97,0.979,0.989,0.999,1.01,1.02,1.02,1.03,1.03,1.04,1.04,1.05,1.05,1.05,1.05,1.06,1.06,1.06,1.06,1.07,1.07,1.07,1.07,1.07,1.07,1.08
Bangladesh,0.473,0.478,0.482,0.486,0.492,0.496,0.502,0.507,0.512,0.517,0.524,0.53,0.537,0.542,0.547,0.555,0.562,0.569,0.578,0.583,0.593,0.599,0.608,0.617,0.624,0.634,0.642,0.651,0.661,0.668,0.677,0.684,0.692,0.699,0.707,0.716,0.724,0.73,0.737,0.744,0.75,0.757,0.762,0.768,0.774,0.779
Barbados,0.939,0.943,0.948,0.951,0.956,0.961,0.964,0.97,0.974,0.977,0.982,0.986,0.99,0.993,0.998,1,1.01,1.01,1.01,1.02,1.02,1.03,1.03,1.03,1.04,1.04,1.04,1.04,1.05,1.05,1.05,1.06,1.06,1.06,1.06,1.07,1.07,1.07,1.07,1.07,1.08,1.08,1.08,1.08,1.08,1.08
Belarus,0.98,0.985,0.989,0.991,0.995,0.999,1,1,1.01,1.01,1.01,1.02,1.02,1.02,1.02,1.03,1.03,1.03,1.03,1.03,1.03,1.04,1.04,1.04,1.04,1.04,1.04,1.04,1.04,1.04,1.04,1.04,1.04,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05
Belgium,0.952,0.956,0.96,0.963,0.967,0.97,0.973,0.977,0.981,0.983,0.985,0.99,0.992,0.995,0.997,1,1,1,1.01,1.01,1.01,1.01,1.02,1.02,1.02,1.02,1.02,1.02,1.03,1.03,1.03,1.03,1.03,1.03,1.03,1.04,1.04,1.04,1.04,1.04,1.04,1.04,1.04,1.04,1.04,1.04
Belize,0.812,0.816,0.82,0.824,0.828,0.833,0.839,0.842,0.849,0.852,0.857,0.862,0.866,0.871,0.875,0.879,0.885,0.889,0.894,0.897,0.902,0.907,0.91,0.915,0.919,0.925,0.929,0.931,0.936,0.94,0.945,0.948,0.953,0.956,0.96,0.964,0.967,0.971,0.975,0.978,0.982,0.985,0.989,0.992,0.995,0.999
Benin,0.333,0.335,0.337,0.343,0.342,0.348,0.348,0.352,0.357,0.355,0.358,0.362,0.368,0.37,0.371,0.374,0.379,0.383,0.383,0.387,0.39,0.394,0.399,0.402,0.407,0.409,0.412,0.417,0.42,0.423,0.429,0.431,0.436,0.439,0.442,0.446,0.451,0.455,0.46,0.462,0.466,0.473,0.476,0.479,0.484,0.488
Bhutan,0.325,0.325,0.329,0.332,0.336,0.338,0.34,0.344,0.344,0.35,0.351,0.355,0.36,0.36,0.363,0.369,0.372,0.374,0.379,0.381,0.385,0.389,0.392,0.396,0.4,0.404,0.408,0.41,0.414,0.418,0.423,0.426,0.431,0.434,0.438,0.442,0.447,0.451,0.456,0.46,0.464,0.468,0.474,0.477,0.482,0.487
Bolivia,0.677,0.682,0.686,0.693,0.697,0.702,0.708,0.714,0.72,0.724,0.729,0.736,0.741,0.748,0.753,0.759,0.765,0.771,0.776,0.781,0.788,0.794,0.8,0.807,0.812,0.819,0.824,0.829,0.835,0.84,0.846,0.852,0.856,0.86,0.867,0.872,0.876,0.88,0.885,0.89,0.894,0.898,0.903,0.906,0.911,0.915
Bosnia and Herzegovina,0.812,0.816,0.821,0.827,0.832,0.835,0.841,0.844,0.849,0.853,0.859,0.863,0.869,0.872,0.877,0.881,0.885,0.891,0.895,0.899,0.904,0.908,0.912,0.917,0.921,0.924,0.929,0.934,0.938,0.942,0.947,0.951,0.954,0.958,0.963,0.966,0.97,0.973,0.976,0.98,0.983,0.987,0.99,0.993,0.996,0.998
Botswana,1.06,1.07,1.07,1.07,1.08,1.09,1.09,1.09,1.1,1.1,1.1,1.11,1.11,1.11,1.11,1.11,1.11,1.11,1.11,1.11,1.11,1.11,1.11,1.1,1.1,1.09,1.1,1.1,1.1,1.1,1.1,1.11,1.11,1.11,1.11,1.11,1.12,1.12,1.12,1.13,1.13,1.13,1.13,1.13,1.13,1.14
Brazil,0.962,0.966,0.972,0.976,0.982,0.987,0.99,0.995,1,1,1.01,1.02,1.02,1.02,1.03,1.03,1.04,1.04,1.05,1.05,1.06,1.06,1.07,1.07,1.07,1.08,1.08,1.08,1.09,1.09,1.09,1.1,1.1,1.1,1.11,1.11,1.11,1.11,1.12,1.12,1.12,1.12,1.13,1.13,1.13,1.13
