cust_id	sales_total	num_of_orders	gender
100001	1357.74	7	M
100002	1480.16	8	M
100003	1463.29	8	M
100004	1374.94	7	M
100005	1559.92	8	F
100006	1373.46	7	F
100007	1684.95	9	M
100008	1354.93	7	M
100009	1028.65	5	F
100010	1305.87	7	F
100011	971.68	5	M
100012	1692.93	9	M
100013	1662.18	9	M
100014	1714.75	9	F
100015	1387.78	7	F
100016	1376.34	7	F
100017	1494.61	8	M
100018	1300.53	7	F
100019	1298.83	7	M
100020	1366.23	7	M
100021	1558.27	8	M
100022	1208.35	6	M
100023	1499.36	8	M
100024	1532.30	8	F
100025	997.40	5	M
100026	1468.73	8	M
100027	951.65	5	F
100028	1856.72	10	M
100029	1351.92	7	F
100030	1211.29	6	F
100031	1333.14	7	M
100032	1171.32	6	F
100033	1520.19	8	F
100034	1498.68	8	M
100035	1350.92	7	F
100036	1145.55	6	M
100037	1467.51	8	M
100038	1503.19	8	M
100039	1375.66	7	M
100040	1632.96	9	M
100041	1338.92	7	M
100042	1297.48	7	M
100043	1295.77	7	F
100044	1322.51	7	F
100045	1341.53	7	M
100046	1380.41	7	M
100047	1311.36	7	F
100048	1290.58	7	F
100049	1327.47	7	M
100050	1201.50	6	M
100051	1492.86	8	M
100052	1726.64	9	F
100053	1503.91	8	F
100054	1708.00	9	M
100055	1510.92	8	F
100056	1313.03	7	M
100057	1329.17	7	F
100058	1380.83	7	M
100059	1317.79	7	M
100060	1148.81	6	F
100061	1214.43	6	F
100062	1032.71	5	F
100063	1471.70	8	M
100064	1305.31	7	F
100065	1143.57	6	M
100066	1387.81	7	M
100067	1327.90	7	M
100068	1722.84	9	M
100069	1339.58	7	M
100070	1709.04	9	M
100071	1363.69	7	M
100072	1176.08	6	F
100073	1185.75	6	F
100074	1176.38	6	F
100075	1147.08	6	F
100076	1328.26	7	F
100077	979.38	5	M
100078	1382.62	7	M
100079	1335.14	7	F
100080	1689.78	9	M
100081	1351.18	7	M
100082	1324.02	7	F
100083	1341.93	7	M
100084	1295.07	7	M
100085	1370.72	7	F
100086	1198.84	6	M
100087	1514.41	8	F
100088	1497.09	8	F
100089	1154.78	6	M
100090	1299.77	7	M
100091	1217.43	6	M
100092	1301.04	7	M
100093	1173.11	6	M
100094	1352.97	7	M
100095	1342.98	7	F
100096	1329.77	7	F
100097	1341.65	7	F
100098	1727.59	9	M
100099	1148.68	6	M
100100	1013.51	5	M
100101	1158.60	6	M
100102	1156.68	6	M
100103	1537.66	8	M
100104	1349.45	7	F
100105	1131.80	6	M
100106	1314.00	7	M
100107	1478.57	8	F
100108	1324.68	7	M
100109	1518.97	8	M
100110	1498.54	8	F
100111	964.70	5	M
100112	1343.47	7	M
100113	1386.55	7	M
100114	1478.39	8	M
100115	1386.32	7	F
100116	1674.63	9	F
100117	1333.85	7	M
100118	1318.06	7	M
100119	1174.69	6	F
100120	1363.29	7	F
100121	1161.43	6	M
100122	1174.00	6	F
100123	1012.09	5	F
100124	1147.60	6	M
100125	1301.79	7	M
100126	1504.84	8	M
100127	1321.41	7	F
100128	1144.78	6	F
100129	1181.19	6	F
100130	1341.73	7	F
100131	1478.16	8	F
100132	1463.05	8	M
100133	1354.76	7	F
100134	1206.52	6	F
100135	1302.37	7	F
100136	1351.80	7	F
100137	1297.98	7	M
100138	1340.77	7	M
100139	1385.55	7	M
100140	1355.20	7	M
100141	1363.55	7	M
100142	1122.21	6	M
100143	1476.10	8	M
100144	1313.40	7	F
100145	1461.14	8	M
100146	1381.97	7	F
100147	1318.84	7	M
100148	1381.62	7	M
100149	1320.90	7	M
100150	1518.31	8	M
100151	1193.52	6	F
100152	1338.62	7	M
100153	1312.83	7	M
100154	1165.35	6	F
100155	1545.23	8	F
100156	1383.81	7	M
100157	1493.65	8	M
100158	1502.18	8	F
100159	1375.84	7	M
100160	1637.51	9	F
100161	1000.95	5	F
100162	1294.20	7	F
100163	1525.06	8	M
100164	1049.39	5	M
100165	1371.70	7	M
100166	1011.21	5	F
100167	1132.17	6	M
100168	1309.35	7	F
100169	1525.23	8	M
100170	1464.07	8	F
100171	1143.95	6	M
100172	1293.66	7	F
100173	1125.24	6	M
100174	1366.62	7	M
100175	1196.53	6	M
100176	1180.98	6	F
100177	1324.63	7	F
100178	1654.37	9	M
100179	1291.55	7	M
100180	952.39	5	M
100181	1333.27	7	F
100182	1351.34	7	M
100183	1183.81	6	F
100184	1387.94	7	M
100185	1477.54	8	M
100186	1376.47	7	M
100187	1484.45	8	F
100188	1369.79	7	F
100189	1191.95	6	F
100190	1536.29	8	M
100191	1131.74	6	F
100192	1509.40	8	M
100193	1511.19	8	F
100194	1690.20	9	F
100195	1137.50	6	F
100196	1330.08	7	F
100197	1336.35	7	M
100198	1510.77	8	M
100199	1316.38	7	F
100200	991.47	5	M
100201	1382.08	7	F
100202	1683.01	9	M
100203	979.12	5	F
100204	1192.58	6	F
100205	1324.02	7	F
100206	1477.46	8	F
100207	1322.92	7	M
100208	1325.42	7	F
100209	1292.36	7	F
100210	1298.30	7	F
100211	1359.38	7	M
100212	1467.43	8	M
100213	1136.07	6	M
100214	1349.26	7	M
100215	1385.37	7	F
100216	1161.26	6	M
100217	1365.18	7	M
100218	1352.41	7	M
100219	1176.26	6	M
100220	1173.00	6	M
100221	1383.63	7	M
100222	1357.04	7	M
100223	1387.73	7	F
100224	951.17	5	M
100225	1670.73	9	M
100226	1324.48	7	F
100227	1302.36	7	M
100228	1129.68	6	M
100229	1206.22	6	F
100230	1557.91	8	F
100231	1513.23	8	F
100232	1464.99	8	F
100233	1040.61	5	M
100234	1343.65	7	M
100235	965.73	5	F
100236	1185.68	6	M
100237	1492.52	8	F
100238	1506.05	8	M
100239	1364.62	7	M
100240	1728.63	9	M
100241	1356.39	7	M
100242	1632.39	9	F
100243	1300.16	7	M
